This is a test scenario,,,,,,,,,
OSMFILE,scotland-latest.osm.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
VEHICLE,55.933366,-3.312951,3.21,50,400,10,500,ConventionalVan,car
RVVEHICLE,55.933366,-3.312951,0,20,30,5,100,bike,bike
RVVEHICLE,55.933366,-3.312951,0,10,15,5,50,walk,foot
RVVEHICLE,55.933366,-3.312951,0,50,200,7,750,electric van,car
,Latitude,Longitude,Name (optional),,,,,,
RVPOINT,55.951744,-3.190667,Micro Depot 1,,,,,,
RVPOINT,55.953799,-3.182706,Micro Depot 2,,,,,,
RVPOINT,55.961186,-3.186546,Micro Depot 3,,,,,,
RVPOINT,55.954827,-3.194715,Micro Depot 4,,,,,,
RVPOINT,55.951788,-3.203384,Micro Depot 5,,,,,,
RVPOINT,55.95067,-3.208985,Micro Depot 6,,,,,,
RVPOINT,55.947378,-3.213013,Micro Depot 7,,,,,,
RVPOINT,55.947618,-3.209193,Micro Depot 8,,,,,,
RVPOINT,55.945886,-3.217218,Micro Depot 9,,,,,,
RVPOINT,55.943651,-3.204065,Micro Depot 10,,,,,,
RVPOINT,55.94424,-3.194259,Micro Depot 11,,,,,,
RVPOINT,55.945754,-3.187242,Micro Depot 12,,,,,,
RVPOINT,55.94085,-3.214002,Micro Depot 13,,,,,,
RVPOINT,55.939593,-3.204741,Micro Depot 14,,,,,,
RVPOINT,55.950571,-3.176596,Micro Depot 15,,,,,,
,,,,,,,,,
,Latitude,Longitude,Weight,,,,,,
DELIVERY,55.949302,-3.183637,8,,,,,,
DELIVERY,55.95357,-3.189355,2,,,,,,
DELIVERY,55.957293,-3.18536,8,,,,,,
DELIVERY,55.954833,-3.188431,10,,,,,,
DELIVERY,55.952438,-3.201262,2,,,,,,
DELIVERY,55.94845,-3.192511,2,,,,,,
DELIVERY,55.952991,-3.1986,2,,,,,,
DELIVERY,55.947889,-3.192029,8,,,,,,
DELIVERY,55.951542,-3.182873,2,,,,,,
DELIVERY,55.946063,-3.188066,4,,,,,,
DELIVERY,55.959033,-3.188111,10,,,,,,
DELIVERY,55.957603,-3.190101,8,,,,,,
DELIVERY,55.947425,-3.196844,2,,,,,,
DELIVERY,55.9462,-3.185662,5,,,,,,
DELIVERY,55.94842,-3.186376,10,,,,,,
DELIVERY,55.947964,-3.191508,2,,,,,,
DELIVERY,55.952239,-3.199816,2,,,,,,
DELIVERY,55.948608,-3.187311,8,,,,,,
DELIVERY,55.955153,-3.195422,2,,,,,,
DELIVERY,55.949873,-3.191691,2,,,,,,
DELIVERY,55.95388,-3.202808,2,,,,,,
DELIVERY,55.946384,-3.198996,2,,,,,,
DELIVERY,55.948776,-3.185811,8,,,,,,
DELIVERY,55.945006,-3.192103,2,,,,,,
DELIVERY,55.947497,-3.191713,8,,,,,,
DELIVERY,55.956548,-3.18918,2,,,,,,
DELIVERY,55.952014,-3.189547,5,,,,,,
DELIVERY,55.946318,-3.1997,5,,,,,,
DELIVERY,55.948733,-3.185584,2,,,,,,
DELIVERY,55.945682,-3.190648,2,,,,,,
DELIVERY,55.952799,-3.205342,5,,,,,,
DELIVERY,55.94979,-3.188708,8,,,,,,
DELIVERY,55.957563,-3.187713,8,,,,,,
DELIVERY,55.95054,-3.206544,2,,,,,,
DELIVERY,55.953737,-3.184115,5,,,,,,
DELIVERY,55.94958,-3.190896,2,,,,,,
DELIVERY,55.955924,-3.190914,5,,,,,,
DELIVERY,55.953496,-3.201219,8,,,,,,
DELIVERY,55.950511,-3.192371,5,,,,,,
DELIVERY,55.949786,-3.177943,2,,,,,,
DELIVERY,55.947522,-3.203758,2,,,,,,
DELIVERY,55.958704,-3.190535,8,,,,,,
DELIVERY,55.955081,-3.196496,2,,,,,,
DELIVERY,55.953447,-3.192759,2,,,,,,
DELIVERY,55.945762,-3.190827,5,,,,,,
DELIVERY,55.949332,-3.194235,8,,,,,,
DELIVERY,55.947968,-3.203289,8,,,,,,
DELIVERY,55.949616,-3.188095,2,,,,,,
DELIVERY,55.9487,-3.188995,2,,,,,,
DELIVERY,55.947742,-3.196092,10,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
