Ch2 tests
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,26,cs,2033.465763315378,d=3522.671688726595
v,13,cs,3413.2887454382876,d=2812.8199180235806
v,16,cs,2963.731126891512,d=2919.891202252919
v,20,cs,2608.9453379628317,d=2998.746765823027
v,22,cs,2456.57453230678,d=3117.4967852618197
v,9,cs,5475.439967003844,d=2378.1301438466403
v,10,cs,4616.491505244921,d=2607.125763953428
v,19,cs,2614.8771700953343,d=3175.9181459139113
v,23,cs,2426.52914305757,d=3085.2716580168158
v,21,cs,2485.4742401782337,d=3329.998942847825
v,15,cs,3013.3113764734667,d=2894.770216920519
v,24,cs,2283.617469889806,d=3438.250158034041
v,11,cs,3745.2139848283946,d=2646.8787935803243
v,17,cs,2826.4208478897694,d=2893.724682973887
v,32,cs,1870.378950536836,d=3740.757901073672
v,18,cs,2732.0226511105016,d=3008.858603076238
v,14,cs,3241.486999419312,d=2785.5932597564297
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,15,cs,2966.651506052027,d=3042.199746617175
v,14,cs,3192.494288576323,d=2666.345841761054
v,24,cs,2364.242226277006,d=3297.580512672131
v,19,cs,2590.1054191975745,d=3003.8547885098756
v,25,cs,2268.129590324875,d=3233.2259619351385
v,17,cs,2791.1673877170597,d=2755.1402934105627
v,12,cs,3580.2130063525924,d=2534.021896555234
v,13,cs,3478.714440627307,d=2596.474717519649
v,10,cs,4615.5997665758905,d=2420.430078996045
v,9,cs,5515.603980374935,d=2243.0434562878513
v,22,cs,2403.5546264542263,d=3215.104895695974
v,21,cs,2503.914644877457,d=2999.2283124127425
v,16,cs,2958.4272321916446,d=2825.016820355719
v,11,cs,3633.355689081253,d=2557.95371490346
v,18,cs,2701.792490331163,d=3010.527204154491
v,5,cs,8030.499162350138,d=2176.2456568353145
v,7,cs,6344.004693721809,d=2127.4496330865722
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,12,cs,3521.3079054921236,d=2655.040737916864
v,24,cs,2367.847612692854,d=3383.975476020692
v,21,cs,2490.9513027275457,d=3306.2024810279727
v,16,cs,2884.508631432591,d=2790.8187753726193
v,25,cs,2255.343232143702,d=3480.5820576703577
v,13,cs,3489.8169557339143,d=2707.161696122231
v,14,cs,3162.743885539458,d=2833.2640941095533
v,10,cs,4352.56406968602,d=2608.744108279043
v,18,cs,2565.014279747743,d=3071.8040160076803
v,17,cs,2665.5821892619024,d=2999.0328986135355
v,11,cs,3965.817633114184,d=2568.053864244897
v,22,cs,2419.9875850281214,d=3073.089484585475
v,5,cs,7142.3543161506095,d=2148.3426679938234
v,7,cs,5673.072256134794,d=2044.4177602278405
v,6,cs,6939.023237627125,d=2079.533702654994
v,8,cs,5604.217597030378,d=2555.75217991542
