FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
336.0,2.8428286364131496,856.2,58.64460002178575,0.0,1.0,1.0,21,0,
336.0,2.9877821517053142,922.2,56.42414675033819,0.0,1.0,1.0,21,0,
336.0,3.019626142456887,935.6000000000001,57.03550268103009,0.0,1.0,1.0,21,0,
336.0,3.688093362788023,1229.8000000000002,56.96107962673003,0.0,1.0,1.0,21,0,
336.0,3.845714810262773,1296.8,59.31451651562021,0.0,1.0,1.0,21,0,
512.0,2.844048825072167,694.4,44.981483031753555,0.0,1.0,1.0,32,0,
496.0,2.8474013348664626,714.1999999999999,42.656587341243544,0.0,1.0,1.0,31,0,
352.0,2.8289131882393495,839.6000000000001,53.12180282531354,0.0,1.0,1.0,22,0,
528.0,2.8821607610777087,693.6,46.55073487419184,0.0,1.0,1.0,33,0,
448.0,2.9053531118442675,787.2,43.155369211477584,0.0,1.0,1.0,28,0,
580.0,3.324014890721518,804.0,78.56655191746793,43171.556454463724,0.9568181818181818,0.9448328081636268,26,1,
660.0,3.4472057807614918,752.4000000000002,104.37054353505599,74383.64595877129,0.8909090909090909,0.9132374558026252,31,1,
612.0,3.5002411210776274,811.4,116.706093274156,91916.42836991113,0.9590909090909091,0.893752817078576,28,1,
596.0,3.3348685013909796,780.2,91.14214061203111,66963.3052029521,0.9,0.9079142388150844,27,1,
580.0,3.4146685864261848,802.8,119.65417802752134,96110.09434419757,0.9522727272727273,0.8891392345463748,26,1,
676.0,3.6649773543082076,798.0,138.59003589561155,121569.4795513654,0.9181818181818182,0.8640881108277042,32,1,
596.0,3.49826612928668,882.8000000000002,60.43709688613902,15397.585132444274,0.8909090909090909,0.980572573091972,27,1,
416.0,2.905797755414337,819.0,43.55101238230821,0.0,1.0,1.0,26,0,
564.0,3.45649374349231,877.0000000000002,79.8572471366163,43534.90009493873,0.8454545454545455,0.9455211323966031,25,1,
628.0,3.5002650436880356,833.4000000000001,78.71661922273563,44400.32276364326,0.9454545454545454,0.9424708150918485,29,1,
564.0,3.598214806861563,928.2,91.0145150190875,66984.24612416362,0.8818181818181818,0.9076000963281391,25,1,
680.0,3.810427800845407,889.8000000000002,106.78823237197885,77654.49473344686,0.85,0.9097693889125369,22,2,
580.0,3.589495422013961,891.0000000000002,108.37798568614272,87698.61342383889,0.9,0.8873249476863524,26,1,
580.0,3.441293667213018,843.4000000000001,90.76921357372781,66963.3052029521,0.9,0.9071600684521314,26,1,
680.0,3.708475147510876,857.9999999999999,93.72906490478539,59536.66071444325,0.9090909090909091,0.9297607053172134,22,2,
680.0,3.807921678334604,878.0,117.48553846722577,84201.85866502074,0.825,0.9122907393604184,22,2,
628.0,3.557811096411428,820.2000000000002,117.23688242102813,90100.51966809337,0.9227272727272727,0.8990986640262494,29,1,
548.0,3.595242732359647,905.2,128.70680223824462,96110.09434419757,0.9522727272727273,0.904873300548764,24,1,
664.0,3.7415449509514276,864.1999999999999,118.07977841862818,101618.43501079589,0.7545454545454545,0.8702301230146622,21,2,
680.0,3.80467782755978,860.6,133.4582441263031,109804.95928686362,0.8772727272727273,0.8830699704703517,22,2,
644.0,3.7810810448029746,885.8000000000001,133.87565971330864,121569.4795513654,0.9181818181818182,0.8517078291523975,30,1,
580.0,3.6949602016390695,973.0000000000002,72.7824887211903,34401.2069329851,0.8704545454545455,0.9561646167092169,26,1,
432.0,3.302532449709257,976.4000000000002,44.71427787207305,0.0,1.0,1.0,27,0,
616.0,3.758624951067911,968.1999999999998,69.59497846988091,12926.837571502167,0.9545454545454546,0.986591353516059,18,2,
612.0,3.735727771810368,951.8000000000002,79.92021959656164,43534.90009493873,0.8454545454545455,0.9455890500486896,28,1,
580.0,3.7159350650118497,976.8,78.21142860521395,43171.556454463724,0.9568181818181818,0.9444333866439599,26,1,
628.0,3.7856666767729434,939.2000000000003,98.49333778009502,68445.05775322243,0.8954545454545455,0.9173141534041441,29,1,
644.0,3.777552424860437,934.2000000000002,83.92306693859229,49629.28520184878,0.975,0.9378319102139937,30,1,
516.0,3.6228357645391114,960.4000000000001,117.64773639720902,87698.61342383889,0.9,0.9052075951482328,22,1,
564.0,3.7353053887165157,942.0000000000002,137.53437103526682,113554.20137952459,0.9522727272727273,0.8821458281641705,25,1,
532.0,3.793374312692796,1071.3999999999999,65.68469758483037,15397.585132444274,0.8909090909090909,0.9824166546869023,23,1,
480.0,3.5891545530832487,1053.0000000000002,46.228003356629124,0.0,1.0,1.0,30,0,
548.0,3.8161001672971007,1046.2,84.8840736107244,40994.09137522138,0.9659090909090909,0.9547490098919145,24,1,
468.0,3.6977323223248493,1055.2,103.80222182293375,61159.91546122777,0.8863636363636364,0.9382108296985993,19,1,
516.0,3.8081736000167727,1062.2,97.39638400737995,54073.95409622895,0.9545454545454546,0.9439164264217751,22,1,
676.0,3.8233290352111617,928.8000000000001,77.46477549291124,29129.48495101621,0.9295454545454546,0.9681768980652927,32,1,
676.0,3.8377441380867636,929.4,83.20742075817604,39655.717602383644,0.9636363636363636,0.9556269559754453,32,1,
660.0,3.8293258289812466,928.0000000000001,96.90336475174848,66963.3052029521,0.9,0.9181819716401449,31,1,
680.0,3.832555386495955,911.5999999999999,94.72437005822043,59536.66071444325,0.9090909090909091,0.9310432829927154,22,2,
