Dimensions,9,,,,,,,,,,,,,,,,,,
Normalised,5,,,,,,,,,,,,,,,,,,
Evals,1000000,,,,,,,,,,,,,,,,,,
key,dist,emissions,byMD,MDs in use,Time,WalkDels,CycleDels,EvanDels,fixed cost,running cost,actual emissions,actual byMd,Actual MDs in use,Actual Time,Actual WalkDels,Actual CycleDels,Actual EvanDels,Actual fixed cost,Actual running cost
3:1:1:2:1:1:1:1:3,0.135330366,3,1,1,2,1,1,1,1,3,0.461516102,0.08,0.028571429,0.28202147,0.08,1.00E-05,1.00E-05,0.11,0.474172121
2:5:2:5:3:1:2:4:5,0.694546998,2,5,2,5,3,1,2,4,5,0.386896773,0.96,0.228571429,1,0.52,1.00E-05,0.44,0.75,1
2:5:2:5:1:2:3:5:5,0.675155125,2,5,2,5,1,2,3,5,5,0.334172651,1,0.228571429,1,0.16,0.28,0.56,0.89,1
1:5:1:5:1:4:1:2:3,0.398838333,1,5,1,5,1,4,1,2,3,0.189690244,1,0.057142857,0.926243003,0.12,0.84,0.04,0.32,0.58641066
2:5:1:2:1:2:4:3:4,0.376372209,2,5,1,2,1,2,4,3,4,0.263872859,0.96,0.114285714,0.311144211,1.00E-05,0.28,0.68,0.57,0.691492347
1:5:1:1:1:2:4:2:3,0.263977757,1,5,1,1,1,2,4,2,3,0.189690244,1,0.057142857,0.059697874,1.00E-05,0.32,0.68,0.42,0.529084847
1:5:1:4:1:1:5:2:3,0.241169272,1,5,1,4,1,1,5,2,3,0.065647249,1,0.028571429,0.67025117,0.04,1.00E-05,0.96,0.41,0.468530591
2:5:1:5:2:2:2:3:5,0.593056138,2,5,1,5,2,2,2,3,5,0.34784625,0.92,0.114285714,1,0.28,0.28,0.36,0.45,0.882603049
3:3:1:5:1:2:1:2:5,0.498001082,3,3,1,5,1,2,1,2,5,0.581335871,0.56,0.114285714,0.961131349,0.08,0.36,0.12,0.43,0.892549322
2:5:1:5:2:2:2:5:5,0.595052365,2,5,1,5,2,2,2,5,5,0.276920332,0.96,0.142857143,1,0.28,0.36,0.32,0.9,0.890137278
2:4:1:4:1:2:2:3:4,0.387853856,2,4,1,4,1,2,2,3,4,0.382430778,0.84,0.114285714,0.771824167,0.08,0.36,0.4,0.45,0.696172809
2:2:1:5:2:1:1:1:3,0.160812488,2,2,1,5,2,1,1,1,3,0.376280271,0.24,0.028571429,1,0.24,1.00E-05,1.00E-05,0.11,0.453851062
1:5:1:5:1:1:4:4:4,0.405454994,1,5,1,5,1,1,4,4,4,0.218335129,0.96,0.057142857,0.947685186,0.12,1.00E-05,0.84,0.71,0.709344698
2:5:1:5:1:1:4:5:5,0.581245387,2,5,1,5,1,1,4,5,5,0.254175169,0.96,0.114285714,0.986360213,0.12,1.00E-05,0.84,1,0.909549451
2:4:1:5:1:1:4:3:4,0.376356058,2,4,1,5,1,1,4,3,4,0.252260112,0.88,0.085714286,1,0.16,1.00E-05,0.72,0.56,0.674111841
2:5:1:5:2:3:1:2:4,0.440513417,2,5,1,5,2,3,1,2,4,0.26190372,0.96,0.142857143,1,0.24,0.6,0.12,0.31,0.668107748
2:5:1:5:1:1:3:3:5,0.550737236,2,5,1,5,1,1,3,3,5,0.295774887,0.92,0.171428571,0.921842833,0.16,0.12,0.64,0.6,0.890607458
3:2:1:2:1:2:1:1:3,0.159471682,3,2,1,2,1,2,1,1,3,0.468674868,0.36,0.028571429,0.29156649,1.00E-05,0.36,1.00E-05,0.12,0.498875156
2:5:1:5:2:3:1:3:4,0.511629271,2,5,1,5,2,3,1,3,4,0.241042968,1,0.114285714,1,0.28,0.56,0.16,0.46,0.736944744
1:5:1:3:1:1:5:4:4,0.413867216,1,5,1,3,1,1,5,4,4,0.065647249,1,0.028571429,0.560635147,0.04,1.00E-05,0.96,0.86,0.682551932
2:5:1:3:1:1:4:3:4,0.353864101,2,5,1,3,1,1,4,3,4,0.238593772,0.96,0.114285714,0.503337789,0.12,1.00E-05,0.84,0.56,0.662182584
2:5:1:5:1:1:4:2:4,0.369527937,2,5,1,5,1,1,4,2,4,0.223074617,0.92,0.057142857,1,0.04,1.00E-05,0.88,0.41,0.667901789
2:5:1:5:1:2:3:3:5,0.556157726,2,5,1,5,1,2,3,3,5,0.344335697,1,0.171428571,1,0.12,0.4,0.48,0.59,0.890155808
2:4:1:1:1:1:4:2:4,0.322504937,2,4,1,1,1,1,4,2,4,0.38948137,0.72,0.028571429,0.18597516,1.00E-05,1.00E-05,0.72,0.4,0.686912958
2:5:1:4:1:2:3:3:4,0.411460673,2,5,1,4,1,2,3,3,4,0.312306366,1,0.142857143,0.683379307,0.12,0.4,0.48,0.61,0.711750653
2:4:1:5:2:1:3:4:5,0.547223999,2,4,1,5,2,1,3,4,5,0.304348757,0.88,0.142857143,0.973055062,0.24,1.00E-05,0.64,0.72,0.887837223
2:2:1:5:2:1:1:1:4,0.375110274,2,2,1,5,2,1,1,1,4,0.421752683,0.28,0.085714286,1,0.28,1.00E-05,1.00E-05,0.13,0.664097831
2:5:1:5:2:1:3:5:5,0.595326127,2,5,1,5,2,1,3,5,5,0.278363668,0.96,0.114285714,1,0.24,0.08,0.64,0.89,0.898023973
2:5:1:5:2:1:3:3:5,0.559937295,2,5,1,5,2,1,3,3,5,0.350400505,0.92,0.142857143,1,0.28,1.00E-05,0.64,0.58,0.882898772
1:5:1:5:2:3:1:3:4,0.464039276,1,5,1,5,2,3,1,3,4,0.190369337,1,0.142857143,1,0.36,0.48,0.16,0.47,0.671968199
2:5:1:5:1:2:2:3:4,0.401933021,2,5,1,5,1,2,2,3,4,0.263547241,0.92,0.142857143,1,0.08,0.4,0.44,0.6,0.679759481
1:5:1:1:1:2:3:3:4,0.395915534,1,5,1,1,1,2,3,3,4,0.189149592,0.96,0.028571429,0.12118772,1.00E-05,0.32,0.64,0.57,0.68593469
1:5:1:4:1:4:2:3:4,0.452727218,1,5,1,4,1,4,2,3,4,0.216816714,0.96,0.085714286,0.838555492,0.04,0.68,0.24,0.6,0.701897055
2:4:1:5:2:1:3:2:3,0.286650706,2,4,1,5,2,1,3,2,3,0.250701568,0.72,0.028571429,1,0.24,1.00E-05,0.48,0.26,0.551994794
2:5:1:5:2:2:1:2:5,0.647210347,2,5,1,5,2,2,1,2,5,0.31893992,0.96,0.114285714,1,0.44,0.32,0.2,0.32,0.891844947
2:5:1:5:1:3:2:3:4,0.428571023,2,5,1,5,1,3,2,3,4,0.233543785,1,0.114285714,1,0.04,0.56,0.4,0.45,0.676204776
2:5:1:3:1:4:1:3:5,0.601305219,2,5,1,3,1,4,1,3,5,0.357728048,0.92,0.171428571,0.440909593,0.04,0.8,0.08,0.47,0.894472835
2:4:1:5:1:2:2:3:4,0.403003823,2,4,1,5,1,2,2,3,4,0.270465459,0.8,0.085714286,1,0.12,0.44,0.24,0.45,0.66192875
2:4:1:2:1:4:1:2:4,0.384327556,2,4,1,2,1,4,1,2,4,0.373649194,0.88,0.085714286,0.428313444,1.00E-05,0.72,0.16,0.31,0.66772069
1:5:1:4:1:2:3:5:4,0.567827167,1,5,1,4,1,2,3,5,4,0.210766399,1,0.114285714,0.788373667,0.12,0.36,0.52,0.9,0.840913983
1:5:1:5:1:1:5:3:4,0.380339599,1,5,1,5,1,1,5,3,4,0.184351361,1,0.085714286,0.917691567,0.04,1.00E-05,0.96,0.56,0.670838627
1:5:1:5:1:1:4:4:5,0.576935681,1,5,1,5,1,1,4,4,5,0.212434194,1,0.085714286,1,0.16,1.00E-05,0.84,0.87,0.886807846
2:4:1:5:1:1:2:3:4,0.410779188,2,4,1,5,1,1,2,3,4,0.32274052,0.68,0.085714286,1,0.08,0.16,0.44,0.45,0.700802002
2:5:1:2:1:2:3:3:4,0.384985722,2,5,1,2,1,2,3,3,4,0.227620339,0.92,0.057142857,0.220592963,1.00E-05,0.28,0.64,0.57,0.676223374
1:5:1:5:1:1:4:3:4,0.383615226,1,5,1,5,1,1,4,3,4,0.189149592,0.92,0.028571429,1,0.12,1.00E-05,0.8,0.56,0.671850581
2:2:1:5:1:1:2:2:3,0.201101471,2,2,1,5,1,1,2,2,3,0.305558562,0.32,0.057142857,1,0.08,1.00E-05,0.24,0.26,0.471945764
1:5:1:5:2:1:2:3:4,0.489373381,1,5,1,5,2,1,2,3,4,0.204538355,0.96,0.085714286,1,0.4,0.2,0.36,0.45,0.701052034
2:5:1:4:1:1:4:3:4,0.377057511,2,5,1,4,1,1,4,3,4,0.22409998,0.92,0.085714286,0.80900114,0.04,1.00E-05,0.88,0.56,0.68178442
2:4:1:5:1:3:1:2:4,0.403641499,2,4,1,5,1,3,1,2,4,0.346541755,0.76,0.114285714,1,0.2,0.52,0.04,0.31,0.669039187
1:5:1:1:1:1:5:2:3,0.202068699,1,5,1,1,1,1,5,2,3,0.140599565,1,0.057142857,0.065260684,1.00E-05,1.00E-05,1,0.4,0.464714026
1:5:1:4:1:1:4:2:4,0.362383951,1,5,1,4,1,1,4,2,4,0.21967992,0.92,0.057142857,0.876995433,0.08,1.00E-05,0.84,0.41,0.660887117
2:5:1:2:1:1:4:3:4,0.364493829,2,5,1,2,1,1,4,3,4,0.262747914,0.96,0.085714286,0.390731369,0.12,1.00E-05,0.84,0.56,0.684875583
2:5:1:5:2:4:1:2:5,0.676186731,2,5,1,5,2,4,1,2,5,0.392921991,0.96,0.2,1,0.24,0.68,0.04,0.36,0.937247186
2:4:1:5:2:3:1:2:4,0.423968317,2,4,1,5,2,3,1,2,4,0.298962385,0.88,0.142857143,1,0.24,0.52,0.12,0.31,0.680631207
2:4:1:5:2:1:2:3:5,0.523964404,2,4,1,5,2,1,2,3,5,0.412387604,0.76,0.085714286,1,0.32,1.00E-05,0.44,0.58,0.882076718
3:2:1:5:2:1:1:1:4,0.312737414,3,2,1,5,2,1,1,1,4,0.538673881,0.28,0.057142857,1,0.28,1.00E-05,1.00E-05,0.12,0.667982177
2:5:1:5:1:1:4:4:5,0.527464357,2,5,1,5,1,1,4,4,5,0.311067203,0.92,0.114285714,1,0.12,1.00E-05,0.8,0.71,0.881235494
3:2:1:2:1:1:1:2:4,0.300474327,3,2,1,2,1,1,1,2,4,0.482952735,0.32,0.057142857,0.310603646,1.00E-05,0.12,0.2,0.27,0.661162617
2:5:1:4:1:4:1:4:5,0.695677659,2,5,1,4,1,4,1,4,5,0.248995957,1,0.171428571,0.815476458,0.12,0.72,0.16,0.66,0.92059223
2:5:1:5:1:3:1:2:4,0.434986508,2,5,1,5,1,3,1,2,4,0.304860124,0.96,0.114285714,0.974665486,0.12,0.64,0.2,0.31,0.68193092
1:5:1:3:1:1:5:2:3,0.338435028,1,5,1,3,1,1,5,2,3,0.177180732,1,0.085714286,0.511255012,0.04,0.04,0.92,0.43,0.610098048
1:5:1:1:1:2:4:3:4,0.390480328,1,5,1,1,1,2,4,3,4,0.170051037,1,0.114285714,0.200378105,1.00E-05,0.28,0.72,0.57,0.668766624
1:5:1:3:1:2:4:4:4,0.449283562,1,5,1,3,1,2,4,4,4,0.168915985,1,0.085714286,0.588804289,1.00E-05,0.28,0.72,0.72,0.715332637
1:5:1:3:1:2:3:4:5,0.599525528,1,5,1,3,1,2,3,4,5,0.190361788,1,0.171428571,0.589365911,0.04,0.36,0.6,0.73,0.901763123
2:5:1:2:1:2:3:3:5,0.575012362,2,5,1,2,1,2,3,3,5,0.307874754,0.96,0.114285714,0.417771555,1.00E-05,0.32,0.64,0.59,0.900368573
1:5:1:1:1:1:5:4:4,0.352919147,1,5,1,1,1,1,5,4,4,0.178913149,0.96,0.028571429,0.145929609,1.00E-05,1.00E-05,0.96,0.7,0.6609999
2:5:1:3:1:4:2:3:4,0.418559475,2,5,1,3,1,4,2,3,4,0.240800735,1,0.142857143,0.545082434,1.00E-05,0.72,0.28,0.46,0.660120556
2:5:1:5:1:3:2:3:5,0.590244309,2,5,1,5,1,3,2,3,5,0.324353672,0.92,0.171428571,1,0.04,0.48,0.4,0.47,0.890401772
1:5:1:1:1:1:4:3:4,0.367261923,1,5,1,1,1,1,4,3,4,0.20744321,1,0.085714286,0.085568428,1.00E-05,0.12,0.88,0.57,0.674936691
2:2:1:4:1:1:2:2:4,0.314997314,2,2,1,4,1,1,2,2,4,0.437727517,0.4,0.057142857,0.864373175,0.12,1.00E-05,0.28,0.26,0.671807481
2:4:1:5:2:2:1:2:4,0.385771303,2,4,1,5,2,2,1,2,4,0.425490076,0.76,0.085714286,1,0.24,0.32,0.2,0.44,0.720341785
1:5:1:3:1:1:4:2:4,0.389325589,1,5,1,3,1,1,4,2,4,0.20572603,0.92,0.057142857,0.555655176,0.12,0.04,0.76,0.43,0.663030544
2:4:1:4:1:2:2:2:4,0.371765814,2,4,1,4,1,2,2,2,4,0.33921267,0.72,0.057142857,0.722983142,1.00E-05,0.36,0.36,0.27,0.666327529
2:5:1:5:1:4:1:3:4,0.437990173,2,5,1,5,1,4,1,3,4,0.231090319,1,0.114285714,1,0.12,0.76,0.12,0.47,0.676985578
2:4:1:2:1:1:4:2:3,0.231332627,2,4,1,2,1,1,4,2,3,0.250599342,0.84,0.028571429,0.249408505,1.00E-05,1.00E-05,0.84,0.25,0.533562271
2:4:1:5:3:1:2:3:5,0.609401261,2,4,1,5,3,1,2,3,5,0.314922194,0.88,0.171428571,1,0.52,0.12,0.24,0.46,0.881282967
2:3:1:1:1:1:2:2:3,0.188438698,2,3,1,1,1,1,2,2,3,0.390304219,0.48,0.057142857,0.187072293,1.00E-05,0.16,0.32,0.27,0.509757569
