Problem,Deliveries,Demand,Avg.Bags.Del,Time Window,Sol. Distance, Sol. Time,Sol. CostDel,Routes,Sol. Cost,Sol. Avg. Dels Route,Sol. Loading Factor
0,1,2,3,4,5,6,7,8,9,
Grand front ,14,A-n32-k5.vrp,n,5,obj0Min,2345.5038980208005,obj0Max,3505.3498096182943,obj1Min,1913.0,obj1Max,2065.0,obj2Min,3.6673597666907614,obj2Max,4.288726763460225
A-n32-k5,32,410,12.0,14,3348.529683920449,1913.0,4.288726763460225,6,1758.3779730186925,5,68.33333333333333
A-n32-k5,32,410,12.0,14,2345.5038980208005,2065.0,3.6766437952888626,5,1507.4239560684337,6,82.0
A-n32-k5,32,410,12.0,14,3465.640307216863,2006.0,3.967511990108227,5,1626.679915944373,6,82.0
A-n32-k5,32,410,12.0,14,3505.3498096182943,1948.0,3.950551043232538,5,1619.7259277253406,6,82.0
A-n32-k5,32,410,12.0,14,2350.576960198396,2043.0,3.6673597666907614,5,1503.6175043432122,6,82.0
0,1,2,3,4,5,6,7,8,9,
Grand front ,13,A-n32-k5.vrp,n,1,obj0Min,2251.722487826159,obj0Max,2251.722487826159,obj1Min,2048.0,obj1Max,2048.0,obj2Min,3.6415891001845377,obj2Max,3.6415891001845377
A-n32-k5,32,410,12.0,13,2251.722487826159,2048.0,3.6415891001845377,5,1493.0515310756605,6,82.0
0,1,2,3,4,5,6,7,8,9,
Grand front ,12,A-n32-k5.vrp,n,1,obj0Min,2306.55754988033,obj0Max,2306.55754988033,obj1Min,2055.0,obj1Max,2055.0,obj2Min,3.660651788624387,obj2Max,3.660651788624387
A-n32-k5,32,410,12.0,12,2306.55754988033,2055.0,3.660651788624387,5,1500.8672333359987,6,82.0
0,1,2,3,4,5,6,7,8,9,
Grand front ,11,A-n32-k5.vrp,n,2,obj0Min,2327.447390985336,obj0Max,2338.5139530924243,obj1Min,2130.0,obj1Max,2162.0,obj2Min,3.706356420760521,obj2Max,4.1188081579153275
A-n32-k5,32,410,12.0,11,2338.5139530924243,2130.0,3.706356420760521,5,1519.6061325118137,6,82.0
A-n32-k5,32,410,12.0,11,2327.447390985336,2162.0,4.1188081579153275,6,1688.7113447452844,5,68.33333333333333
0,1,2,3,4,5,6,7,8,9,
Grand front ,10,A-n32-k5.vrp,n,3,obj0Min,2363.522598121209,obj0Max,3124.7886452063963,obj1Min,1761.0,obj1Max,2203.0,obj2Min,3.7319134267359266,obj2Max,3.7507323694857275
A-n32-k5,32,410,12.0,10,2412.6880765959822,2139.0,3.7319134267359266,5,1530.0845049617299,6,82.0
A-n32-k5,32,410,12.0,10,2363.522598121209,2203.0,3.7491027901955642,5,1537.1321439801814,6,82.0
A-n32-k5,32,410,12.0,10,3124.7886452063963,1761.0,3.7507323694857275,5,1537.8002714891484,6,82.0
0,1,2,3,4,5,6,7,8,9,
Grand front ,9,A-n32-k5.vrp,n,7,obj0Min,2246.6695613779466,obj0Max,2460.944174713282,obj1Min,2146.0,obj1Max,2435.0,obj2Min,3.7490987035157417,obj2Max,3.8707276430370743
A-n32-k5,32,410,12.0,9,2439.561823614642,2274.0,3.8054359350314955,5,1560.228733362913,6,82.0
A-n32-k5,32,410,12.0,9,2460.944174713282,2146.0,3.7490987035157417,5,1537.130468441454,6,82.0
