Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:3:9:1:0:9:9:3:0,432.0,3.3473553929008757,1608.8000000000002,81.42331909915492,0.0,1.0,1.0,27,0,
0:4:9:1:0:9:9:3:0,432.0,3.505498611157123,1703.3999999999999,87.08611947361588,0.0,1.0,1.0,27,0,
1:3:8:1:0:8:9:4:0,644.0,2.895806043166489,1077.6000000000001,114.34103136755377,69128.27620830908,0.861198738170347,0.9354839372128464,30,1,
1:3:8:1:0:9:9:5:0,772.0,3.060603969461723,1056.8000000000002,111.62291663873192,62505.89607545323,0.9258675078864353,0.9431399597335067,38,1,
1:3:8:2:0:9:9:4:0,872.0,3.195556488570849,1027.2000000000003,126.78281375391799,78232.44302305109,0.9384858044164038,0.9332004718672571,34,2,
1:3:8:2:1:8:8:4:0,856.0,3.2081031292882645,1025.0,152.93738396875975,123275.77992182455,0.832807570977918,0.88828426462996,33,2,
1:3:8:2:1:8:9:4:0,840.0,3.281387608375632,1094.3999999999999,145.99974371015063,110579.64066697171,0.8801261829652997,0.9020928520885013,32,2,
1:3:8:2:1:9:9:4:0,872.0,3.29016308246165,1082.2000000000003,131.763394280686,81538.83321661381,0.9511041009463722,0.9328714316661288,34,2,
1:3:9:1:0:8:9:4:0,644.0,3.030086669866596,1162.0,115.0749486954216,69128.27620830908,0.861198738170347,0.9361763989037569,30,1,
1:3:9:1:0:9:9:5:0,740.0,3.293802287488694,1246.0,102.27065026783188,49483.94028443421,0.917981072555205,0.9546222446595549,36,1,
1:3:9:2:0:8:9:4:0,628.0,3.2229499220295312,1291.0,124.35025056672275,78228.09889423914,0.8643533123028391,0.9309346194175963,29,1,
1:3:9:2:0:9:9:4:0,856.0,3.370347369766703,1152.8,128.00023243208958,78232.44302305109,0.9384858044164038,0.9342825591253144,33,2,
1:3:9:2:1:7:8:3:0,760.0,3.359402268974369,1199.7999999999997,170.06103852975053,142202.3512508141,0.7854889589905363,0.8786878126604813,27,2,
1:3:9:2:1:8:8:4:0,644.0,3.2661590277061388,1287.4,139.34482356569205,107024.71035208412,0.8264984227129337,0.8992289025592608,30,1,
1:3:9:2:1:8:9:4:0,644.0,3.220530009749217,1257.0,140.81602618100342,107024.71035208412,0.8264984227129337,0.9013925637734866,30,1,
1:3:9:2:1:9:9:4:0,824.0,3.403744590870468,1190.0,143.97407061187698,105832.89095393755,0.9211356466876972,0.907822098646511,31,2,
1:3:9:3:2:8:8:4:0,776.0,3.469011559774657,1233.4,189.95332889713248,176064.90537781507,0.8375394321766562,0.8434931655945649,28,2,
1:4:9:1:0:8:9:4:0,644.0,3.4890474017412476,1452.6000000000004,115.45605270395086,63583.00133534738,0.8832807570977917,0.9446375362065258,30,1,
1:4:9:1:0:9:9:4:0,872.0,3.4787513606342224,1226.3999999999999,107.12836264209689,50834.09449236476,0.9274447949526814,0.9559110116393178,34,2,
1:4:9:2:0:8:9:4:0,840.0,3.749357299723321,1406.6000000000001,130.4925280245857,79454.65783808248,0.8738170347003155,0.9347039327633231,32,2,
