Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:2:5:1:0:9:9:4:0,464.0,2.4313377770646163,839.0000000000001,75.56851959563717,0.0,1.0,1.0,29,0,
0:2:6:1:0:9:9:4:0,464.0,2.695809025620569,994.0,70.5237175268625,0.0,1.0,1.0,29,0,
0:2:7:1:0:9:9:4:0,464.0,2.7711539300773387,1038.4,68.84427835385101,0.0,1.0,1.0,29,0,
0:2:8:1:0:9:9:4:0,416.0,2.903668975391462,1146.7999999999997,83.58030904695921,0.0,1.0,1.0,26,0,
0:3:7:1:0:9:9:4:0,464.0,2.9205357920487693,1122.2,69.74379409165235,0.0,1.0,1.0,29,0,
0:3:8:1:0:9:9:4:0,464.0,3.191308089388675,1279.1999999999998,66.27168668337883,0.0,1.0,1.0,29,0,
0:3:9:1:0:9:9:4:0,464.0,3.2680683619398363,1320.2,68.79476121988716,0.0,1.0,1.0,29,0,
1:2:5:1:0:9:9:6:0,640.0,2.7114461230773577,837.8,59.58995178486179,0.0,1.0,1.0,40,0,
1:2:6:1:0:9:9:6:0,624.0,2.7813926506944364,894.8,58.249632943745375,0.0,1.0,1.0,39,0,
1:2:6:2:0:9:9:4:0,612.0,2.8227520889523463,881.8000000000002,106.70043443598033,42151.8089661634,0.9382716049382716,0.9659822040909525,28,1,
1:2:7:1:0:9:9:6:0,576.0,2.8940656213889766,1004.8,60.13520732754973,0.0,1.0,1.0,36,0,
1:3:5:1:0:8:9:5:0,856.0,3.1416806026335022,824.1999999999999,101.13290169319578,48154.59444181298,0.8994708994708994,0.9556869484147648,33,2,
1:3:5:1:0:9:9:6:0,804.0,3.0195800874322147,824.8000000000001,83.30190957406559,32650.770340682622,0.9841269841269841,0.9663442350300956,40,1,
1:3:5:2:0:9:9:6:0,904.0,3.1858975070695092,793.5999999999999,108.80388650841182,69021.34468831534,0.9171075837742504,0.9299222453630507,36,2,
1:3:5:2:1:8:8:5:0,872.0,3.279540611507583,836.1999999999999,151.29952672479953,130515.41872843717,0.8765432098765432,0.8694936544546381,34,2,
1:3:5:2:1:8:9:6:0,920.0,3.279004570426254,830.8,108.3955914316859,73369.44482281634,0.8871252204585538,0.9212717692504474,37,2,
1:3:5:2:1:9:8:5:0,808.0,3.1924674022688517,854.6,147.52901708643913,114770.05966772164,0.9153439153439153,0.896493515201206,30,2,
1:3:5:2:1:9:9:5:0,872.0,3.2187059906772264,843.7999999999998,109.20629671398763,72195.61392573133,0.9171075837742504,0.9245868596250427,34,2,
1:3:6:1:0:8:9:5:0,856.0,3.3081540030859955,916.4000000000001,103.32331974975916,68136.69621834578,0.8994708994708994,0.9249247546596255,33,2,
1:3:6:1:0:9:9:6:0,756.0,3.0975034003940234,917.1999999999998,83.08442802341132,36127.7030988686,0.9594356261022927,0.9611317308770984,37,1,
1:3:6:2:0:8:9:5:0,840.0,3.3940556032984337,972.0000000000001,112.42952707021165,68357.62523475685,0.8994708994708994,0.9348638224359217,32,2,
1:3:6:2:0:8:9:4:1,924.0,3.5803611372233943,996.4000000000001,109.66476480566452,58964.84060757742,0.8659611992945326,0.9466944054129044,27,3,
