Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:2:4:2:0:9:9:6:0,192.0,1.699043478348586,304.20000000000005,27.105391331364384,0.0,1.0,1.0,12,0,
0:2:5:2:0:9:9:6:0,192.0,1.9050740676396258,369.8,24.96281283300472,0.0,1.0,1.0,12,0,
0:2:5:3:0:9:9:5:0,176.0,1.889703148166765,368.8,37.2285696353636,0.0,1.0,1.0,11,0,
0:2:6:2:0:9:9:6:0,192.0,1.9763066137055558,392.0,24.702437021311226,0.0,1.0,1.0,12,0,
0:2:6:3:0:9:9:5:0,176.0,1.9820401656833981,397.79999999999995,36.66837103048667,0.0,1.0,1.0,11,0,
0:2:7:2:0:9:9:6:0,192.0,2.1299383665992475,439.20000000000005,24.82101691256816,0.0,1.0,1.0,12,0,
0:2:7:3:0:9:9:5:0,160.0,2.135711500264441,460.8,36.99914208144784,0.0,1.0,1.0,10,0,
0:3:7:2:0:9:9:6:0,192.0,2.2346915376871546,471.40000000000003,24.884993607643583,0.0,1.0,1.0,12,0,
0:3:7:3:0:9:9:5:0,176.0,2.2904932156827438,492.6,36.87191043028509,0.0,1.0,1.0,11,0,
0:3:8:2:0:9:9:6:0,192.0,2.474161983864425,543.0000000000001,27.04189103024281,0.0,1.0,1.0,12,0,
0:3:8:3:0:9:9:5:0,176.0,2.447785694426628,541.2,36.71799388340142,0.0,1.0,1.0,11,0,
0:3:9:2:0:9:9:6:0,192.0,2.6348316977369497,594.1999999999999,25.328162902980555,0.0,1.0,1.0,12,0,
0:3:9:3:0:9:9:5:0,160.0,2.6188011967182736,609.6,36.99076858922821,0.0,1.0,1.0,10,0,
0:4:9:2:0:9:9:6:0,192.0,3.0345549736852275,712.8000000000002,29.84293189504991,0.0,1.0,1.0,12,0,
1:2:3:1:0:9:9:9:0,288.0,1.78796582502815,247.60000000000005,15.093474108670204,0.0,1.0,1.0,18,0,
1:2:3:2:0:9:9:9:0,288.0,1.8214925739021233,248.20000000000005,24.819712761853886,0.0,1.0,1.0,18,0,
1:2:3:3:1:8:9:7:0,388.0,2.110137568627877,222.99999999999997,38.92237113738611,27576.092758945804,0.8993506493506493,0.914217744664304,14,1,
1:2:4:1:0:9:9:9:0,288.0,1.9023546253153352,283.0,14.925224597123266,0.0,1.0,1.0,18,0,
1:2:4:2:0:9:9:8:0,272.0,1.9117503722510019,292.40000000000003,24.41911465330863,0.0,1.0,1.0,17,0,
1:2:4:3:2:8:9:5:0,324.0,2.0783516615565385,269.59999999999997,46.532311759413936,32349.341661498795,0.8538961038961039,0.9172511138959292,10,1,
1:2:5:1:0:9:9:9:0,304.0,2.067418497370385,318.00000000000006,14.76489719007851,0.0,1.0,1.0,19,0,
1:2:5:2:0:9:9:8:0,256.0,1.9604422130817802,323.40000000000003,24.41620162918819,0.0,1.0,1.0,16,0,
1:2:6:1:0:9:9:8:0,272.0,2.153611200234754,374.20000000000005,17.112249672304216,0.0,1.0,1.0,17,0,
1:2:6:2:0:9:9:8:0,256.0,2.1266748107317905,374.59999999999997,24.415841705391557,0.0,1.0,1.0,16,0,
1:3:3:3:1:9:9:7:0,388.0,2.164800080848637,240.99999999999997,37.758424901380295,24215.983080650843,0.9188311688311688,0.9285627193855208,14,1,
1:3:4:2:0:8:9:6:0,372.0,2.2122880665658626,283.20000000000005,26.184724502285707,7427.286920980126,0.8993506493506493,0.977848439108335,13,1,
1:3:4:2:0:9:9:7:0,388.0,2.276073006664074,284.00000000000006,29.030486052534663,10465.194427243097,0.9253246753246753,0.9699159592386706,14,1,
1:3:4:2:1:8:9:7:0,388.0,2.236958983037518,270.0,30.983366775555545,18092.84039989837,0.8928571428571429,0.9391188862349473,14,1,
1:3:4:2:1:9:9:6:0,356.0,2.2654712903240615,305.4,36.36515741981095,24215.983080650843,0.9188311688311688,0.9235879330199633,12,1,
1:3:4:3:0:9:9:7:0,388.0,2.3848212709355527,309.4,37.12495144815021,15420.221694904392,0.9090909090909091,0.9635509915984452,14,1,
1:3:4:3:1:8:9:6:0,372.0,2.2608987017138036,287.40000000000003,36.95680012785157,23044.95099857013,0.8701298701298701,0.9319836229337441,13,1,
1:3:4:3:1:9:9:7:0,388.0,2.2022053339038377,252.4,37.87924284238196,24215.983080650843,0.9188311688311688,0.9289637609418584,14,1,
1:3:4:3:2:9:8:7:0,388.0,2.2953280967193943,275.40000000000003,43.56105378957348,33693.13837883113,0.9285714285714286,0.8977417035823139,14,1,
1:3:4:3:2:9:9:7:0,388.0,2.373711554018452,296.6,46.503158637683214,33693.13837883113,0.9285714285714286,0.9104128556754734,14,1,
1:3:5:1:0:9:9:9:0,304.0,2.200824733456777,358.20000000000005,15.65401790468732,0.0,1.0,1.0,19,0,
1:3:5:2:0:8:9:7:0,388.0,2.492315678316198,354.2,25.433228921389006,8444.460075230556,0.8896103896103896,0.9729783004731446,14,1,
1:3:5:2:0:9:9:7:0,388.0,2.4632057342026137,341.80000000000007,28.86736613440499,15102.092252399998,0.9155844155844156,0.9489219021380996,14,1,
1:3:5:2:1:8:9:7:0,388.0,2.471846939958642,342.6,30.728857507261665,18322.964353007694,0.827922077922078,0.9369672050641088,14,1,
1:3:5:2:1:9:9:7:0,388.0,2.3922124124200357,319.6,29.20142302537104,15726.990230862897,0.9415584415584416,0.946556234213332,14,1,
1:3:5:3:0:9:9:6:0,372.0,2.5247737239741554,368.79999999999995,36.83030698403991,15420.221694904392,0.9090909090909091,0.9631444060124473,13,1,
1:3:5:3:1:7:9:7:0,388.0,2.4526981838949853,326.8,40.6310406396555,28419.808127742657,0.7987012987012987,0.9162901463220429,14,1,
1:3:5:3:1:8:9:7:0,388.0,2.480610689004105,339.40000000000003,36.62809221326414,26116.56647151808,0.801948051948052,0.9131594827531557,14,1,
1:3:5:3:1:9:9:7:0,388.0,2.5086718782868602,347.4,37.27093851235296,24215.983080650843,0.9188311688311688,0.9268974950853858,14,1,
