Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:3:9:1:0:9:9:9:0,576.0,3.514176973038372,2289.0000000000005,115.02207313653881,0.0,1.0,1.0,36,0,
0:4:9:1:0:9:9:9:0,576.0,3.5520719624752086,2319.0000000000005,117.15702417897631,0.0,1.0,1.0,36,0,
1:3:7:1:0:8:9:9:0,980.0,3.215408779859785,1605.1999999999998,141.4666453210974,45349.66560878698,0.8915094339622641,0.9741684223466124,51,1,
1:3:7:1:0:9:9:9:0,848.0,3.027953133835958,1617.2,102.50425749289232,0.0,1.0,1.0,53,0,
1:3:7:2:0:8:9:9:0,916.0,3.2533433979363138,1662.8000000000004,180.03520144999396,88319.5792384289,0.8714622641509434,0.9536802775602687,47,1,
1:3:7:2:0:9:9:9:0,1048.0,3.3878896237037384,1660.7999999999997,164.13040090077016,79636.68712656593,0.9245283018867925,0.9544337730410755,45,2,
1:3:7:2:1:9:9:9:0,1048.0,3.414051572763144,1664.6000000000001,182.5157337031461,108921.24456790951,0.9198113207547169,0.9368789084757002,45,2,
1:3:8:1:0:8:9:9:0,1112.0,3.4955058855829475,1710.0000000000002,142.18899097433916,55629.813405389905,0.8726415094339622,0.9664280921177199,49,2,
1:3:8:1:0:9:9:9:0,784.0,3.1881061504588266,1817.6,101.91401558908527,0.0,1.0,1.0,49,0,
1:3:8:2:0:8:9:9:0,1128.0,3.530979270006037,1703.6000000000001,162.67042096511918,76774.51627206468,0.8950471698113207,0.9562591242685151,50,2,
1:3:8:2:0:9:9:9:0,1096.0,3.4748205455357373,1688.8,161.84782261430527,80797.34190204737,0.9363207547169812,0.9524480388342438,48,2,
1:3:8:2:1:8:9:9:0,1016.0,3.5418093278654306,1804.6000000000006,182.85431002988486,104145.46380147833,0.8950471698113207,0.9415588090325775,43,2,
1:3:8:2:1:9:9:9:0,1000.0,3.373113396649845,1671.4000000000003,189.00016035906845,117186.3536413014,0.9068396226415094,0.9326464328418879,42,2,
1:3:9:1:0:8:9:9:0,932.0,3.5460874726482308,1919.3999999999999,155.68217680570007,65921.23708276967,0.8867924528301887,0.9625585463615504,48,1,
1:3:9:1:0:9:9:9:0,800.0,3.290602126890701,1890.8000000000002,99.63060360331424,0.0,1.0,1.0,50,0,
1:3:9:2:0:9:9:9:0,916.0,3.4992202275315085,1889.6000000000004,161.73875294671888,71224.6721534957,0.9658018867924528,0.9604271729422014,47,1,
1:3:9:2:1:8:9:9:0,852.0,3.5384713110066914,1932.0000000000005,216.62367173367363,146394.11167120177,0.8632075471698113,0.9215003713927619,43,1,
1:4:7:2:0:9:9:9:0,1176.0,3.5647385780298793,1664.6000000000001,182.2983141693373,95864.31660215821,0.9669811320754716,0.9485114533499378,53,2,
1:4:8:1:0:8:9:9:0,1080.0,3.5895599182129816,1822.4000000000005,141.54681064460777,55629.813405389905,0.8726415094339622,0.9662207293101445,47,2,
1:4:8:1:0:9:9:9:0,1112.0,3.685849100432844,1870.1999999999998,143.40003716705172,56121.54569451457,0.9787735849056604,0.9664135117728518,49,2,
1:4:8:2:0:8:9:9:0,1096.0,3.5856567556346324,1781.0000000000002,163.6369287781681,76774.51627206468,0.8950471698113207,0.9566373462659833,48,2,
1:4:8:2:0:9:9:9:0,1180.0,3.602171912830384,1700.4000000000005,174.24178208016525,101630.465179456,0.9457547169811321,0.9392359936421874,43,3,
1:4:8:2:1:8:9:9:0,1180.0,3.7286644356637035,1773.2000000000003,208.70744144282,150249.1666154606,0.8301886792452831,0.9115275722068653,43,3,
1:4:8:2:1:9:9:9:0,1180.0,3.5857645288074753,1676.8000000000004,183.92832042873883,112665.5406081785,0.9363207547169812,0.934032834366549,43,3,
1:4:8:3:1:8:9:9:0,1148.0,3.8282908344799584,1854.7999999999995,243.5906276390053,177385.919628295,0.8596698113207547,0.9095175784638625,41,3,
