Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:2:7:1:0:9:9:9:0,304.0,2.49427055138511,782.4000000000001,53.48164198299512,0.0,1.0,1.0,19,0,
0:2:8:1:0:9:9:9:0,304.0,2.6601365682918905,860.4000000000001,51.28241170939396,0.0,1.0,1.0,19,0,
0:2:9:1:0:9:9:9:0,288.0,2.7622605411312233,922.4,51.95306729696919,0.0,1.0,1.0,18,0,
0:3:8:1:0:9:9:9:0,320.0,2.785736062254908,891.6000000000003,61.48138045049243,0.0,1.0,1.0,20,0,
0:3:9:1:0:9:9:9:0,320.0,3.2992882538802926,1137.4,50.374732023293554,0.0,1.0,1.0,20,0,
1:2:6:1:0:8:9:9:0,516.0,2.7569607550200472,664.6,79.33106504416153,44732.49595967439,0.8774617067833698,0.9425007326066845,22,1,
1:2:6:1:0:9:9:9:0,416.0,2.5035605554358327,670.8,57.32717383417547,0.0,1.0,1.0,26,0,
1:2:7:1:0:9:9:9:0,384.0,2.6863213000744333,796.0000000000001,47.648834134015864,0.0,1.0,1.0,24,0,
1:2:8:1:0:9:9:9:0,384.0,2.70989308899644,804.8000000000002,49.621141671372904,0.0,1.0,1.0,24,0,
1:3:6:1:0:8:9:9:0,516.0,2.827439627759462,699.8000000000001,76.33990988607395,44732.49595967439,0.8774617067833698,0.9387717976556751,22,1,
1:3:6:2:1:8:8:9:1,616.0,3.0954800752927207,675.8,122.83439440877348,101560.98357686632,0.811816192560175,0.8817675675291388,18,2,
1:3:7:1:0:8:9:9:0,532.0,2.8759753328749813,705.8000000000002,76.52072712386627,44732.49595967439,0.8774617067833698,0.939010895489747,23,1,
1:3:7:1:0:9:9:9:0,548.0,2.973026892338686,733.2000000000003,77.47328979877925,43259.67589906007,0.9299781181619255,0.9433994927534808,24,1,
1:3:7:2:0:8:9:9:0,516.0,3.05932597588898,790.1999999999999,91.91197098126409,56406.11744262213,0.8205689277899344,0.9338220585578303,22,1,
1:3:7:2:0:9:9:9:0,580.0,3.171338204671715,774.8000000000002,94.50155953497365,51804.92780834829,0.9321663019693655,0.9450399227282711,26,1,
1:3:7:2:1:7:8:9:0,580.0,3.213117212657643,755.4000000000001,132.99456618454278,114428.47619957817,0.7461706783369803,0.870299149133985,26,1,
1:3:7:2:1:7:8:9:1,632.0,3.399319167372653,799.2,122.28885948930228,100627.83190999727,0.7986870897155361,0.883036826045169,19,2,
1:3:7:2:1:8:9:9:0,500.0,3.0292799069623277,780.2000000000003,104.18091748178348,77679.44480228712,0.8271334792122538,0.9051597500475302,21,1,
1:3:7:2:1:8:9:9:1,632.0,3.25588787141238,748.2000000000002,107.74075723545752,76187.17307738743,0.8446389496717724,0.9145319201545765,19,2,
1:3:7:2:1:9:9:9:0,516.0,3.0078537569681045,757.0000000000001,101.58916693442376,70152.39927160085,0.9059080962800875,0.9182888884092948,22,1,
1:3:7:3:1:7:8:9:0,628.0,3.3843685781310517,782.0000000000002,136.65644020589048,114428.47619957817,0.7461706783369803,0.8783003749450359,29,1,
1:3:7:4:4:7:7:9:0,468.0,3.2440107777212677,794.8000000000002,219.71292541861905,243276.62721007632,0.7199124726477024,0.7226645959838736,19,1,
1:3:7:5:4:6:6:9:1,616.0,3.550341240380392,765.4000000000001,241.10594685383893,275597.21468988556,0.6673960612691466,0.6833045887071396,18,2,
1:3:8:1:0:7:9:9:0,580.0,3.3821439010432566,886.4000000000002,79.2397627767682,42233.86699088815,0.7964989059080962,0.947421625123567,26,1,
1:3:8:1:0:8:9:9:0,548.0,3.141562983509409,809.8000000000002,77.89428346379957,42047.77985460286,0.8293216630196937,0.9463631264549518,24,1,
1:3:8:1:0:9:9:9:0,368.0,2.826861359625686,875.2000000000003,48.67564134893826,0.0,1.0,1.0,23,0,
1:3:8:1:0:9:9:9:1,616.0,3.4563535473903935,889.8000000000001,73.75357115740985,23400.886137067544,0.986870897155361,0.9745051473055406,18,2,
1:3:8:2:0:7:9:9:0,532.0,3.3181347343854455,887.1999999999999,97.18757361414853,53182.77265817655,0.7855579868708972,0.9451947450966172,23,1,
1:3:8:2:0:8:9:9:0,564.0,3.4025784991167183,899.6000000000001,91.37837409634012,57857.5570266519,0.8205689277899344,0.9301538875971429,25,1,
1:3:8:2:0:9:9:9:0,580.0,3.3282222541369486,849.6,91.39757014058553,51492.24192528121,0.936542669584245,0.9425803584779301,26,1,
