Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:3:0:0:8:9:7:0,532.0,2.9615396436335457,577.5999999999998,104.63125388975402,75404.91534026543,0.8951219512195122,0.9113432465372733,23,1,
0:0:3:0:0:9:9:6:0,500.0,2.82014682577212,577.4,78.8601985665691,42930.45649145297,0.9073170731707317,0.9456431773923,21,1,
0:0:3:1:0:8:9:6:0,648.0,3.295168108221429,592.9999999999999,110.01892437078602,83231.0808068756,0.8780487804878049,0.9023255201091337,20,2,
0:0:3:1:0:9:9:5:0,616.0,3.2851042704759403,620.7999999999998,110.0927508951358,77395.50105543053,0.9048780487804878,0.9154828574020564,18,2,
0:0:3:1:1:8:8:6:0,648.0,3.2110696154321974,544.3999999999997,124.13854232720118,105004.95512402248,0.8902439024390244,0.8754096233920934,20,2,
0:0:3:1:1:9:8:6:0,648.0,3.326373420511725,598.7999999999998,117.01310240980739,89962.32918413199,0.9682926829268292,0.8990197818065305,20,2,
0:0:4:0:0:8:9:5:0,600.0,3.2444680658575336,653.8,76.43190700158874,35991.06526660218,0.8658536585365854,0.9564049569043777,17,2,
0:0:4:0:0:9:9:6:0,352.0,2.618138738824188,674.9999999999999,46.43688291791728,0.0,1.0,1.0,22,0,
0:0:4:1:0:8:9:5:0,600.0,3.3174228461447623,648.3999999999999,111.74336691935252,77052.79967102347,0.8926829268292683,0.9185100717405895,17,2,
0:0:4:1:1:8:8:5:0,584.0,3.322011500475708,652.6,125.42471519504006,102710.27275665029,0.8902439024390244,0.8842997827201784,16,2,
0:0:5:0:0:9:9:7:0,400.0,3.255602449781113,889.6,45.19700441025634,0.0,1.0,1.0,25,0,
0:0:5:1:0:9:9:5:0,436.0,3.302305070446622,810.6,107.34507888311488,65992.73119291058,0.9243902439024391,0.9336238687063243,17,1,
0:0:6:0:0:9:9:6:0,352.0,3.3187479004072653,965.0000000000001,43.68663916697858,0.0,1.0,1.0,22,0,
0:0:7:0:0:9:9:5:0,256.0,3.288621452781341,1032.2,60.13479564034977,0.0,1.0,1.0,16,0,
0:1:3:0:0:9:9:6:0,648.0,3.3752745189669433,631.6,104.2625527764468,75570.28779519464,0.9365853658536586,0.9103466775264079,20,2,
0:1:3:1:1:8:8:6:0,648.0,3.3460988983456743,595.3999999999999,128.50054832172665,105004.95512402248,0.8902439024390244,0.8848498144179833,20,2,
