Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:2:0:0:8:9:8:0,2164.0,2.454945807882402,1271.5999999999997,143.7109878925418,93876.59679040477,0.8820301783264746,0.9261919844062435,84,5,
0:0:2:0:0:9:9:9:0,1552.0,1.960424023588813,1232.9999999999998,73.29822639248974,0.0,1.0,1.0,97,0,
0:0:3:0:0:8:9:7:0,2036.0,2.58972818763937,1611.4000000000003,128.42369757820117,68071.57284998553,0.8888888888888888,0.9478724487649116,76,5,
0:0:3:0:0:9:9:9:0,1520.0,2.1161412641940176,1492.3999999999999,72.9339631948775,0.0,1.0,1.0,95,0,
0:0:3:1:0:8:9:6:0,1940.0,2.5138126273827375,1567.9999999999995,157.1388107240312,93876.59679040477,0.8820301783264746,0.9367663687986298,70,5,
0:0:3:1:0:9:9:7:0,1920.0,2.438030612256498,1471.3999999999994,163.2486326699747,115037.34605632002,0.9410150891632373,0.9150990042932531,79,4,
0:0:3:1:1:9:9:7:0,2068.0,2.6160219525329618,1579.2,166.9600067930584,121715.69792406088,0.9238683127572016,0.9093222550042236,78,5,
0:0:4:0:0:8:9:6:0,1940.0,2.7188206279452967,1889.6000000000004,134.44047554424205,79324.32642390995,0.8943758573388203,0.93806497486222,70,5,
0:0:4:0:0:9:9:9:0,1456.0,2.1853657419509624,1655.4,74.86325176450353,0.0,1.0,1.0,91,0,
0:0:4:1:0:8:9:7:0,2152.0,2.7204260830148437,1658.7999999999997,155.581229035642,98139.29103902084,0.8772290809327846,0.9306100804718535,73,6,
0:0:4:1:0:9:9:8:0,1968.0,2.577138463440002,1632.4,157.0678796955229,111490.08657512873,0.9032921810699589,0.9139080194850537,82,4,
0:0:4:1:1:8:9:6:0,2088.0,2.7574055447293584,1750.1999999999998,182.09728421540473,129052.80634938096,0.8744855967078189,0.9141682715543994,69,6,
0:0:4:1:1:9:8:7:0,1988.0,2.7705888721018646,1858.5999999999997,192.91857552451907,149758.40740741848,0.9012345679012346,0.8969610339369167,73,5,
0:0:4:1:1:9:9:7:0,2052.0,2.6452677679758114,1637.8000000000002,167.00040570873315,121715.69792406088,0.9238683127572016,0.9093654638554424,77,5,
0:0:5:0:0:8:9:6:0,1924.0,2.7647118451722323,1972.2,134.7498702611145,79324.32642390995,0.8943758573388203,0.9383010638183522,69,5,
0:0:5:0:0:9:9:8:0,1392.0,2.351972690013162,1960.4000000000003,76.77618203918973,0.0,1.0,1.0,87,0,
0:0:5:1:0:8:9:7:0,1840.0,2.692112321562271,1928.0,157.09976483779099,105023.32370016327,0.8827160493827161,0.9230435264998884,74,4,
0:0:5:1:0:9:9:7:0,1856.0,2.7684687845071716,2019.6000000000001,160.82748781145602,108750.33036131936,0.9259259259259259,0.9214162940439581,75,4,
0:0:5:1:1:9:9:7:0,1644.0,2.743428820867442,2178.3999999999996,177.5192208247309,123657.27098457381,0.9074074074074074,0.9169400691551425,72,3,
