Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:3:0:0:8:9:5:1,628.0,2.7989621044342265,551.8000000000002,68.53709857766499,44453.81974824486,0.8565022421524664,0.9271215129574057,29,1,
0:0:3:0:0:9:9:6:0,480.0,2.4092406247666234,557.0000000000001,37.52131864591408,0.0,1.0,1.0,30,0,
0:0:3:0:0:9:9:6:1,644.0,2.8340240995319235,550.8000000000001,69.17474839123778,46055.52440781523,0.9237668161434978,0.9236143063913815,30,1,
0:0:3:1:0:9:9:5:1,580.0,2.7496025960680366,563.6,82.72275784634434,61378.55529854264,0.905829596412556,0.9060883923726785,26,1,
0:0:4:0:0:8:9:5:1,628.0,3.04232673828858,664.5999999999999,64.2777252767068,43694.63776955896,0.8565022421524664,0.9206456023125917,29,1,
0:0:4:0:0:9:9:5:0,400.0,2.4556647099159603,662.0,33.22646062251823,0.0,1.0,1.0,25,0,
0:0:4:0:0:9:9:5:1,596.0,2.865555435575949,640.0,42.03772426687325,10625.795029079003,0.9708520179372198,0.9807567001936067,27,1,
0:0:4:1:0:8:8:5:1,580.0,2.8761578390181097,621.0000000000001,81.76639620207703,65382.398077441154,0.8295964125560538,0.8902221134666577,26,1,
0:0:4:1:0:8:9:5:1,564.0,2.7355446061622457,576.6,79.45289434836164,53872.59651704542,0.820627802690583,0.9210191637225208,25,1,
0:0:4:1:0:9:9:5:1,580.0,2.9387055230990775,650.2000000000002,80.46266330218842,56391.198212519776,0.9327354260089686,0.9159773432966175,26,1,
0:0:4:1:1:8:8:4:1,548.0,2.912804993181262,658.4000000000001,92.71102695884275,74011.35828370918,0.852017937219731,0.8906162479545418,24,1,
0:0:4:1:1:8:8:3:2,616.0,2.965433717690622,606.2000000000002,100.38343809001734,81003.61869456188,0.8475336322869955,0.8880136790137946,18,2,
0:0:4:1:1:8:9:4:1,532.0,2.9080891377635623,667.5999999999999,97.40775544254889,67437.21394859716,0.899103139013453,0.9178957338933236,23,1,
0:0:4:1:1:9:8:5:1,596.0,3.0426997220267005,662.6,98.44407602390831,85551.48369650348,0.9147982062780269,0.8671464449328085,27,1,
0:0:4:1:1:9:9:4:1,532.0,2.891915931017385,669.0000000000002,88.7945052337534,67020.59007025116,0.9035874439461884,0.9027820097926572,23,1,
0:0:5:0:0:8:8:5:1,564.0,3.0274240671091004,709.2,77.03113393065881,63434.934872262806,0.8901345291479821,0.8828358574615588,25,1,
0:0:5:0:0:8:9:5:1,612.0,3.247476465310828,772.1999999999999,64.17450352862924,43694.63776955896,0.8565022421524664,0.9204092652916573,28,1,
0:0:5:0:0:9:8:5:1,564.0,2.9643801583532654,681.7999999999998,76.31355062555659,61139.107054048756,0.9103139013452914,0.8897636113500456,25,1,
0:0:5:0:0:9:9:5:0,416.0,2.7338807135805596,770.8000000000001,32.510798256929505,0.0,1.0,1.0,26,0,
0:0:5:0:0:9:9:5:1,564.0,3.1243385465051867,774.0000000000001,55.454991741313144,32459.957724435397,0.9260089686098655,0.9388799799496242,25,1,
0:0:5:0:0:9:9:4:2,648.0,3.297064306385701,750.8000000000001,71.69068064802242,39339.05999624933,0.9147982062780269,0.9449535776810503,20,2,
0:0:5:1:0:8:9:5:1,580.0,3.087454957024652,719.8,77.20491083299511,56385.369155555265,0.8632286995515696,0.9089974880159217,26,1,
0:0:5:1:0:8:9:4:2,648.0,3.2564650082785405,720.4,83.98339369222901,48715.03504533968,0.8632286995515696,0.9397870700033313,20,2,
0:0:5:1:0:9:9:5:1,596.0,3.206369690459353,752.8000000000001,81.24088194487135,59239.95540979406,0.9237668161434978,0.9092786526937311,27,1,
0:0:5:1:0:9:9:4:2,648.0,3.295784287200825,737.2,84.71979209156811,52761.18259258798,0.905829596412556,0.9321327002499601,20,2,
