Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:2:0:0:9:9:4:0,768.0,1.4027392512864307,533.6,32.40502797339575,0.0,1.0,1.0,48,0,
0:0:2:0:0:9:9:4:1,1016.0,1.7111954155648557,563.0,48.34684020217755,19034.331717030596,0.9263932702418507,0.9661399148614936,43,2,
0:0:2:1:0:9:9:3:1,952.0,1.6915978175264361,584.4000000000001,72.30952446764051,39991.41753290866,0.9695057833859095,0.9442608672684312,39,2,
0:0:3:0:0:8:9:4:0,820.0,1.706489257398588,742.4,60.47128378605727,32416.808022863635,0.8990536277602523,0.9469451270076635,41,1,
0:0:3:0:0:8:9:3:1,952.0,1.8094100476380803,698.5999999999997,70.14895530381483,44742.703480759556,0.8843322818086226,0.9292507631831737,39,2,
0:0:3:0:0:9:9:4:0,768.0,1.5039307208434036,628.2,34.038115522077014,0.0,1.0,1.0,48,0,
0:0:3:0:0:9:9:4:1,1000.0,1.7928892425494565,640.7999999999998,64.23766966453306,41127.66424295977,0.9484752891692955,0.9287781694842709,42,2,
0:0:3:1:0:8:9:3:1,920.0,1.821046550093221,738.7999999999998,73.01526913865334,44742.703480759556,0.8843322818086226,0.9339897941013222,37,2,
0:0:3:1:0:9:9:3:0,756.0,1.6279821107736085,717.7999999999998,74.41098734570203,43531.48834309422,0.9348054679284963,0.9389360086235647,37,1,
0:0:3:1:0:9:9:4:1,984.0,1.8482362791308933,700.1999999999999,73.4727014534795,50195.41604119545,0.9095688748685594,0.9199073187355186,41,2,
0:0:3:1:1:8:8:3:1,952.0,1.8477681577440634,721.3999999999999,83.82751801460454,65913.28606285535,0.8496319663512093,0.8941246807777098,39,2,
0:0:3:1:1:8:9:4:1,984.0,1.7691936835656714,620.9999999999998,77.50319307095367,58324.94305705162,0.8843322818086226,0.9033673199118395,41,2,
0:0:3:1:1:9:9:4:1,968.0,1.793601324503622,658.1999999999998,79.51485960294457,58669.60317954297,0.92534174553102,0.9071317049352614,40,2,
0:0:3:2:1:8:8:3:1,888.0,1.7680275889010109,679.5999999999999,113.79423704486125,103425.44470799714,0.8517350157728707,0.8513678606965106,35,2,
0:0:4:0:0:8:9:4:1,1000.0,1.9686294533778157,809.6,62.56661016230272,38253.24552402414,0.8664563617245006,0.9342440060899307,42,2,
0:0:4:0:0:9:9:4:0,704.0,1.6244066795056917,804.8000000000002,36.010752209912596,0.0,1.0,1.0,44,0,
0:0:4:0:0:9:9:4:1,1000.0,1.9545682720947786,805.8,52.99442676213445,24679.708258007307,0.9327024185068349,0.9571055374912546,42,2,
0:0:4:1:0:8:9:3:1,904.0,1.8772828892277953,800.8,80.49602765563324,57088.07790064907,0.882229232386961,0.9140517626780239,36,2,
0:0:4:1:0:9:9:3:0,772.0,1.8248957859527644,890.8,72.675892441079,43531.48834309422,0.9348054679284963,0.9364873964767745,38,1,
0:0:4:1:0:9:9:4:1,968.0,2.0617933884598667,919.7999999999998,72.96551242533363,47171.55875415206,0.907465825446898,0.9275440819274543,40,2,
0:0:4:1:1:8:8:3:0,756.0,1.8405332720589125,896.9999999999999,97.34714172802566,76165.89031585953,0.8748685594111462,0.8952331460440334,37,1,
0:0:4:1:1:8:8:3:1,952.0,1.909028911700513,780.5999999999999,82.88649502718793,65913.28606285535,0.8496319663512093,0.8915275327872817,39,2,
0:0:4:1:1:8:9:3:0,756.0,1.782599822310277,850.9999999999999,88.25243101707355,65524.83485673467,0.879074658254469,0.9059635850065604,37,1,
0:0:4:1:1:8:9:3:1,936.0,1.9074196059050237,791.1999999999999,86.7560452156777,65913.28606285535,0.8496319663512093,0.9014666011878306,38,2,
0:0:4:1:1:9:9:3:1,888.0,1.8575922470819697,793.2000000000002,85.37022697495293,60868.18632820503,0.9085173501577287,0.9131663703292193,35,2,
0:0:4:2:1:8:8:3:0,756.0,1.789778267851165,829.2,116.87913272645791,102241.86766244528,0.8559411146161935,0.8650054027503152,37,1,
0:0:4:2:2:8:8:3:0,756.0,1.8145805107070203,839.6000000000001,130.0660656823761,123186.59674775144,0.8601472134595163,0.8340138595408094,37,1,
0:0:5:0:0:8:9:3:0,692.0,1.9329338780544643,1080.1999999999998,66.02011802979564,27169.726975008314,0.8958990536277602,0.9640156366007302,33,1,
0:0:5:0:0:8:9:3:1,952.0,2.0598289608148277,940.6,66.29734173490121,38253.24552402414,0.8664563617245006,0.9403076655379472,39,2,
