Problem,Win Length,Extra Routes,Times,Dist,Dels/route,Len Route,Time Route
B-n31-k5,1,0.88,4765,2189.535801,3.191489362,72.98452668,158.8333333
B-n34-k5,1,1.34,5392.9,2803.506131,2.820512821,84.95473123,163.4212121
B-n35-k5,1,1.24,6278.7,3220.341184,3.035714286,94.71591717,184.6676471
B-n38-k6,1,1.183333333,6053.1,2894.476522,2.824427481,78.22909518,163.5972973
B-n39-k5,1,2.14,6214.4,2512.254597,2.420382166,66.11196308,163.5368421
B-n41-k6,1,1.7,6693,2928.515363,2.469135802,73.21288407,167.325
B-n43-k6,1,1.6,6530.5,2928.33272,2.692307692,69.72220761,155.4880952
B-n44-k7,1,1.471428571,7176.6,3261.067821,2.485549133,75.83878653,166.8976744
B-n45-k5,1,2.8,7174.9,3098.635777,2.315789474,70.4235404,163.0659091
B-n45-k6,1,1.633333333,6806.7,2778.889884,2.784810127,63.15658827,154.6977273
B-n50-k7,1,1.885714286,8095.9,3211.658781,2.425742574,65.54405675,165.222449
B-n50-k8,1,1.4875,9089.8,4796.434044,2.462311558,97.88640905,185.5061224
B-n51-k7,1,1.871428571,9073,4593.68233,2.487562189,91.8736466,181.46
B-n52-k7,1,2.1,8433.4,3665.638669,2.350230415,71.87526802,165.3607843
B-n56-k7,1,2.685714286,8949.6,3503.875593,2.131782946,63.70682897,162.72
B-n57-k7,1,2.285714286,10835.3,5754.8826,2.434782609,102.7657607,193.4875
B-n57-k9,1,1.688888889,12945.1,7603.558722,2.314049587,135.7778343,231.1625
B-n63-k10,1,1.53,11835.2,7218.255723,2.450592885,116.4234794,190.8903226
B-n64-k9,1,2.166666667,10419.2,4037.89973,2.210526316,64.0936465,165.384127
B-n66-k9,1,2.077777778,11985.4,6644.980347,2.346570397,102.2304669,184.3907692
B-n67-k10,1,1.98,10750.4,4810.638301,2.214765101,72.8884591,162.8848485
B-n68-k9,1,2.088888889,12607.8,6869.851025,2.410071942,102.5350899,188.1761194
B-n78-k10,1,2.39,13659.5,6540.805096,2.271386431,84.94552072,177.3961039
B-n31-k5,10,0,1816.3,1666.01635,6,55.53387835,60.54333333
B-n34-k5,10,0.14,2411.1,2326.113533,5.789473684,70.48828889,73.06363636
B-n35-k5,10,0.06,2734.9,2772.553153,6.41509434,81.54568098,80.43823529
B-n38-k6,10,0,2491.6,2300.45766,6.166666667,62.17453135,67.34054054
B-n39-k5,10,0.08,2047.2,1900.028659,7.037037037,50.00075419,53.87368421
B-n41-k6,10,0.316666667,2787.6,2637.724203,5.063291139,65.94310507,69.69
B-n43-k6,10,0.083333333,2495.1,2513.995994,6.461538462,59.85704747,59.40714286
B-n44-k7,10,0.314285714,3169.4,3051.608607,4.673913043,70.96764201,73.70697674
B-n45-k5,10,0.32,2564.4,2581.171321,6.666666667,58.66298456,58.28181818
B-n45-k6,10,0.216666667,2608.6,2416.453438,6.02739726,54.91939633,59.28636364
B-n50-k7,10,0.314285714,2934.8,2760.85108,5.326086957,56.34389959,59.89387755
B-n50-k8,10,0.0875,4018.5,4113.373954,5.632183908,83.94640723,82.01020408
B-n51-k7,10,0.271428571,3559.6,3621.407578,5.617977528,72.42815156,71.192
B-n52-k7,10,0.142857143,3088.9,2987.910636,6.375,58.58648305,60.56666667
B-n56-k7,10,0.242857143,3222.1,3017.435624,6.32183908,54.86246589,58.58363636
B-n57-k7,10,0.285714286,4537.8,4935.109213,6.222222222,88.12695023,81.03214286
B-n57-k9,10,0.011111111,5079.2,5472.312111,6.153846154,97.71985913,90.7
B-n63-k10,10,0.1,5767.8,6313.337493,5.636363636,101.8280241,93.02903226
B-n64-k9,10,0.355555556,3719.3,3583.02418,5.163934426,56.87339968,59.03650794
B-n66-k9,10,0.2,5263.3,5569.79592,6.018518519,85.689168,80.97384615
B-n67-k10,10,0.24,4308.8,4158.355154,5.322580645,63.00538113,65.28484848
B-n68-k9,10,0.266666667,5638.9,6163.208263,5.877192982,91.98818303,84.16268657
B-n78-k10,10,0.42,5665.1,5899.810634,5.422535211,76.62091733,73.57272727
B-n31-k5,11,0,1677.9,1653.582794,6,55.11942647,55.93
