0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n32-k5.vrp,n,3,obj0Min,2323.333941,obj0Max,3386.666083,obj1Min,1972,obj1Max,2064,obj2Min,3.669829442,obj2Max,3.928390077
D,2323.333941,T,2064,cBag=3.6698294417571695,,,,,,,,,,,,
D,2367.863789,T,2043,cBag=3.672292837220624,,,,,,,,,,,,
D,3386.666083,T,1972,cBag=3.9283900774475504,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n33-k5.vrp,n,1,obj0Min,1629.691472,obj0Max,1629.691472,obj1Min,1464,obj1Max,1464,obj2Min,2.922587225,obj2Max,2.922587225
D,1629.691472,T,1464,cBag=2.922587224781605,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n33-k6.vrp,n,4,obj0Min,1894.264325,obj0Max,1967.84627,obj1Min,1751,obj1Max,1793,obj2Min,2.891752336,obj2Max,3.800792839
D,1894.264325,T,1793,cBag=3.800792839138918,,,,,,,,,,,,
D,1940.577757,T,1781,cBag=3.503230309759779,,,,,,,,,,,,
D,1967.84627,T,1751,cBag=2.891752335755537,,,,,,,,,,,,
D,1957.085046,T,1763,cBag=2.893861276014829,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n34-k5.vrp,n,4,obj0Min,2248.536135,obj0Max,2289.250226,obj1Min,2001,obj1Max,2065,obj2Min,3.228300713,obj2Max,3.601588011
D,2289.250226,T,2001,cBag=3.2348745141019952,,,,,,,,,,,,
D,2248.978505,T,2048,cBag=3.601588011131822,,,,,,,,,,,,
D,2248.536135,T,2065,cBag=3.2523450603581257,,,,,,,,,,,,
D,2251.4387,T,2008,cBag=3.2283007129082484,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n36-k5.vrp,n,5,obj0Min,2564.343156,obj0Max,3240.808743,obj1Min,1776,obj1Max,2271,obj2Min,3.516684667,obj2Max,3.567084342
D,2565.429358,T,2269,cBag=3.5609846942029497,,,,,,,,,,,,
D,2598.72888,T,2263,cBag=3.5670843415706037,,,,,,,,,,,,
D,3218.510279,T,1795,cBag=3.519379417681612,,,,,,,,,,,,
D,3240.808743,T,1776,cBag=3.5166846672274668,,,,,,,,,,,,
D,2564.343156,T,2271,cBag=3.5616021475172053,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n37-k5.vrp,n,1,obj0Min,1925.402486,obj0Max,1925.402486,obj1Min,1741,obj1Max,1741,obj2Min,3.423764351,obj2Max,3.423764351
D,1925.402486,T,1741,cBag=3.4237643508867426,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
