Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:3:0:0:9:9:5:0,528.0,2.394558218481776,680.9999999999998,50.53762292141444,0.0,1.0,1.0,33,0,
0:0:4:0:0:8:9:5:0,692.0,2.9240833723198003,778.8,67.26785384021503,17739.170785674814,0.8288973384030418,0.9797431840531586,33,1,
0:0:4:0:0:8:9:4:1,760.0,3.175334904894328,822.4000000000001,87.82615997441637,57766.50902988974,0.8498098859315589,0.9252759736871643,27,2,
0:0:4:0:0:9:9:5:0,528.0,2.664353090336872,827.6,45.84972551719466,0.0,1.0,1.0,33,0,
0:0:4:0:0:9:9:4:1,760.0,2.975393173516073,714.6000000000001,90.4568092694543,51836.545562712825,0.9106463878326996,0.9409730795784458,27,2,
0:0:4:1:0:9:9:4:0,596.0,2.8846121548763803,815.8000000000001,105.50599346497611,74357.83482177091,0.9068441064638784,0.9150765019097201,27,1,
0:0:4:1:0:9:9:4:1,728.0,3.154478212593323,824.2000000000003,107.05553982408752,68181.03937435542,0.9657794676806084,0.9294354765742993,25,2,
0:0:4:1:1:8:8:5:0,676.0,3.017322148468992,795.9999999999998,115.11145009468987,88191.12872711479,0.8878326996197718,0.8997509441158724,32,1,
0:0:4:1:1:8:8:4:1,760.0,3.2442439808633226,824.9999999999999,121.47233393410767,98600.03986631571,0.8669201520912547,0.8865494333123308,27,2,
0:0:4:1:1:8:9:4:1,760.0,3.1256590290010764,767.0000000000001,117.09664925456605,89543.86136837157,0.8688212927756654,0.9001397352062276,27,2,
0:0:4:1:1:9:8:4:0,628.0,2.909020197205782,785.6,116.54462373024123,90189.13183065763,0.9391634980988594,0.8976336925725555,29,1,
0:0:5:0:0:8:9:4:0,580.0,3.0834739625557197,950.0,91.90730430430854,68705.06529504202,0.8669201520912547,0.9046646821872527,26,1,
0:0:5:0:0:8:9:4:1,760.0,3.183139619696937,830.4000000000001,83.93143996058856,51157.22539248875,0.8859315589353612,0.9345892232705428,27,2,
0:0:5:0:0:9:9:5:0,480.0,2.6455150670478633,867.8,43.74092526717604,0.0,1.0,1.0,30,0,
0:0:5:0:0:9:9:4:1,760.0,3.3779577957698397,931.8,85.00580057493566,48251.149001955826,0.9239543726235742,0.9418804114432214,27,2,
0:0:5:1:0:7:9:4:0,612.0,3.1939350135419162,953.0,115.0098171230479,79467.9484071698,0.7756653992395437,0.9181964334022338,28,1,
0:0:5:1:0:8:9:4:1,744.0,3.399404771226563,938.2000000000003,105.88690966517208,79848.7718949805,0.8631178707224335,0.9029626995732276,26,2,
0:0:5:1:0:9:8:4:0,612.0,3.061178520587698,891.1999999999998,106.97990182912926,82178.68552423206,0.9239543726235742,0.8991981419558815,28,1,
0:0:5:1:0:9:9:4:0,628.0,3.0933693236458986,891.5999999999998,107.51226423774295,82178.68552423206,0.9239543726235742,0.9002301221119173,29,1,
0:0:5:1:0:9:9:4:1,760.0,3.4088966680137034,929.9999999999999,103.07964737520805,69142.78900910556,0.9182509505703422,0.9225684563129851,27,2,
0:0:5:1:1:7:8:5:0,660.0,3.2147293976734823,905.2,125.74766317625173,102716.01649258043,0.7984790874524715,0.8849483282984162,31,1,
0:0:5:1:1:7:8:4:1,728.0,3.3229474282010054,875.1999999999999,144.67034723372876,122984.30026622393,0.7547528517110266,0.8739458122652972,25,2,
0:0:5:1:1:8:8:4:0,580.0,2.9288611568790355,846.8000000000001,113.78096851837248,89105.73975727065,0.8307984790874525,0.8950288251188513,26,1,
0:0:5:1:1:8:8:4:1,760.0,3.278433831274253,852.5999999999999,111.85619525025722,89543.86136837157,0.8688212927756654,0.8899523750604916,27,2,
0:0:5:1:1:8:9:4:0,564.0,3.097170442500029,947.0000000000001,118.11165275501516,89251.15560767532,0.8821292775665399,0.9025537315800833,25,1,
0:0:5:1:1:8:9:4:1,760.0,3.320450029528122,863.9999999999999,122.55671553179218,92711.19414796898,0.8802281368821293,0.9023361341576331,27,2,
0:0:5:1:1:9:8:4:0,612.0,3.092828299845977,890.6,124.22768571898375,96539.63656962891,0.9220532319391636,0.8967261250514776,28,1,
0:0:5:1:1:9:8:4:1,712.0,3.19727981106417,844.1999999999999,125.56918061975341,104806.22212653905,0.9163498098859315,0.8791983385921541,24,2,
0:0:5:1:1:9:9:4:0,580.0,2.938120824922127,845.4,120.05155390903906,89853.76192911406,0.9372623574144486,0.9044293307335859,26,1,
0:0:5:1:1:9:9:4:1,760.0,3.4669311460638665,943.8000000000002,119.80578282959357,91175.26363088691,0.9106463878326996,0.9011273287708954,27,2,
0:0:5:2:1:7:8:4:0,580.0,3.11612090412553,886.8000000000002,172.2795955700286,155910.59388209414,0.7699619771863118,0.8530068124154825,26,1,
0:0:6:0:0:7:9:4:1,760.0,3.649488482897288,1065.2,94.43094200397356,57551.28135266884,0.7984790874524715,0.9345998810416948,27,2,
0:0:6:0:0:8:9:4:0,612.0,3.3406443965804784,1058.3999999999996,86.77895260133221,55740.6340430322,0.8897338403041825,0.9283681037653494,28,1,
0:0:6:0:0:8:9:4:1,760.0,3.497707050539628,979.4,100.39390858384449,72441.25942979651,0.8897338403041825,0.9111278904106596,27,2,
0:0:6:0:0:9:9:4:0,464.0,3.0105858163190784,1075.8,43.76813938383522,0.0,1.0,1.0,29,0,
0:0:6:0:0:9:9:4:1,760.0,3.575167192649108,1049.0000000000002,71.53794333343077,27555.262193253984,0.9657794676806084,0.9671303660922574,27,2,
0:0:6:1:0:7:9:4:0,628.0,3.272420744435231,990.2000000000002,103.09331157293127,64205.269217341294,0.7946768060836502,0.9321298567062232,29,1,
0:0:6:1:0:7:9:4:1,760.0,3.6715900332341294,1067.3999999999996,103.85635748115229,78925.04411862756,0.7585551330798479,0.9014159976445956,27,2,
0:0:6:1:0:8:8:4:1,744.0,3.6135444238260668,1046.1999999999998,110.52436693251134,86085.93664364534,0.8916349809885932,0.8962303004939624,26,2,
0:0:6:1:0:8:9:4:0,580.0,3.3082003023228097,1057.4,102.71335902179777,62902.53734342653,0.8897338403041825,0.9340590664785812,26,1,
0:0:6:1:0:8:9:4:1,744.0,3.5211920244253774,1003.9999999999999,104.14700484774885,74748.2343732648,0.8859315589353612,0.9120487374910401,26,2,
0:0:6:1:0:9:9:4:0,628.0,3.2309886471700358,967.6000000000001,103.90002841143861,71366.2012390131,0.9638783269961977,0.9191004407265204,29,1,
0:0:6:1:0:9:9:4:1,760.0,3.6859325502137126,1076.8,102.0005214124127,71290.30964853859,0.908745247148289,0.9164124531085834,27,2,
0:0:6:1:1:7:8:5:0,644.0,3.4405305664933965,1038.4,127.31907797552626,102716.01649258043,0.7984790874524715,0.8880690215469441,30,1,
0:0:6:1:1:7:8:4:1,744.0,3.6148914883863847,1025.6,131.83292289123844,107207.66985308527,0.7376425855513308,0.8860839786847619,26,2,
0:0:6:1:1:7:9:4:1,760.0,3.6863846359252928,1053.8000000000002,125.2383184967038,93689.21017915229,0.7585551330798479,0.9045254555640714,27,2,
0:0:6:1:1:8:8:4:0,612.0,3.314580360293288,1019.8000000000001,111.66926951426919,87007.34607564214,0.8840304182509505,0.8961555947649997,28,1,
0:0:6:1:1:8:8:4:1,744.0,3.687168287031269,1037.8,157.65051897844774,156715.0425006486,0.8250950570342205,0.8089617366229368,26,2,
0:0:6:1:1:8:9:4:1,760.0,3.5041535872513965,962.0000000000001,121.18478689423438,92711.19414796898,0.8802281368821293,0.900048008415992,27,2,
0:0:6:1:1:9:8:4:0,564.0,3.271019719100314,1030.2,126.35637224676485,105659.10029718782,0.9182509505703422,0.8786827996097657,25,1,
0:0:6:1:1:9:8:4:1,760.0,3.63534440953632,1048.0,104.19115941610437,86144.98916824689,0.9372623574144486,0.8817723520770709,27,2,
0:0:6:1:1:9:9:5:0,644.0,3.306459487013551,974.6,120.5976901691279,87126.13291283917,0.9372623574144486,0.9109155949986383,30,1,
0:0:6:1:1:9:9:4:1,760.0,3.663793296867807,1050.2000000000003,116.95527415246619,87562.54017028365,0.9239543726235742,0.9043714145977679,27,2,
0:0:6:2:1:7:8:4:0,596.0,3.344478946659076,988.4,174.79592594267382,169593.25581779768,0.7642585551330798,0.8222515808899066,27,1,
0:0:7:0:0:7:9:4:1,760.0,3.7345718577252764,1116.8,87.58479716349564,52281.994517385,0.785171102661597,0.9368518391027519,27,2,
0:0:7:0:0:8:9:4:0,628.0,3.398861099715544,1096.8,63.00093845037615,17739.170785674814,0.8288973384030418,0.9780489966359439,29,1,
