Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:4:0:0:9:9:5:0,784.0,2.7627285842636833,1485.7999999999997,108.90931105103141,0.0,1.0,1.0,49,0,
0:0:4:0:0:9:9:6:1,1320.0,3.457375197936343,1489.7999999999997,167.00004542319164,80970.65913855053,0.9814169570267132,0.9544826005421625,62,2,
0:0:5:0:0:8:9:6:1,1208.0,3.5531116377875165,1667.5999999999995,183.6291201350521,112200.73940130525,0.8873403019744484,0.9343139828229031,55,2,
0:0:5:0:0:8:9:4:2,1328.0,3.7863158557692125,1729.3999999999996,202.61795181729207,133938.9378149256,0.8954703832752613,0.924597590547061,42,4,
0:0:5:0:0:9:9:6:0,864.0,3.12533860747632,1728.3999999999996,98.51654103711206,0.0,1.0,1.0,54,0,
0:0:5:0:0:9:9:6:1,1192.0,3.480715596511879,1655.1999999999996,149.69612859672804,63489.85221777839,0.9337979094076655,0.9624730146516158,54,2,
0:0:5:1:0:8:9:5:1,1244.0,3.6181916416573494,1650.7999999999997,220.46300346697805,155107.22892585467,0.8420441347270615,0.9153569653524062,47,3,
0:0:5:1:0:8:9:4:2,1344.0,3.8167092300604835,1722.5999999999997,219.5866470820767,160919.22434132695,0.8687572590011614,0.9083820962546688,43,4,
0:0:5:1:0:9:9:5:1,1292.0,3.5947555952442283,1585.3999999999996,217.68456750528082,152343.14494908554,0.9117305458768873,0.9162052826494371,50,3,
0:0:5:1:0:9:9:4:2,1344.0,3.7529827830210287,1664.7999999999993,222.5181761811064,139827.27607881135,0.9105691056910569,0.9310698591630344,43,4,
0:0:5:1:1:8:8:5:1,1244.0,3.6076257844245876,1631.2,230.96580038957026,182238.30708324182,0.867595818815331,0.8933373453769295,47,3,
0:0:5:1:1:8:8:4:2,1344.0,3.8880816147512465,1732.6,271.0382703008234,238723.79580828856,0.8234610917537747,0.8627157524766734,43,4,
0:0:5:1:1:8:9:5:1,1308.0,3.6417137673875972,1598.1999999999996,229.31555372072162,172608.22033796093,0.8629500580720093,0.9033251111034801,51,3,
0:0:6:0:0:8:9:5:1,1340.0,3.9102216551783164,1848.9999999999995,177.70084510853061,100801.2845594101,0.8977932636469221,0.9419416882310402,53,3,
0:0:6:0:0:8:9:4:2,1328.0,3.8371945199726816,1773.2,202.62448169647848,135099.1278566683,0.8803716608594657,0.923413675701179,42,4,
0:0:6:0:0:9:9:6:0,864.0,3.213446800819774,1804.1999999999996,98.5776955058255,0.0,1.0,1.0,54,0,
0:0:6:0:0:9:9:5:1,1340.0,3.786328121432848,1756.1999999999998,163.82851255368206,82936.13557648582,0.9163763066202091,0.951431936745866,53,3,
0:0:6:0:0:9:9:4:2,1296.0,3.8889056450291717,1865.6000000000001,186.74776037011628,102041.67572576896,0.9105691056910569,0.9453222776262349,40,4,
0:0:6:1:0:8:9:5:1,1212.0,3.869557589775078,1899.5999999999997,220.0890847963429,167916.134201567,0.859465737514518,0.9006124340541884,45,3,
0:0:6:1:0:8:9:4:2,1280.0,3.991487037622585,1935.3999999999999,221.27033939304587,156586.5243651572,0.8583042973286876,0.9144076987786928,39,4,
0:0:6:1:0:9:9:5:1,1128.0,3.813315713881753,1936.799999999999,218.46482965219013,156122.4120181444,0.9024390243902439,0.9127794643281135,50,2,
0:0:6:1:0:9:9:4:2,1344.0,3.8965237194819013,1793.8,217.1069224739172,143753.69133895336,0.9314750290360047,0.9243723700580223,43,4,
0:0:6:1:1:8:8:4:1,1180.0,3.9295912256943333,1950.8000000000002,252.5780453228206,194421.91764070705,0.8443670150987224,0.8987660927229948,43,3,
0:0:6:1:1:8:8:4:2,1328.0,3.96119451111547,1826.8,255.78847407041968,215105.75491874217,0.8246225319396051,0.8770864890457417,42,4,
0:0:6:1:1:8:9:4:1,1148.0,3.631367742780892,1746.8,231.8076265343479,172788.93477355642,0.826945412311266,0.9052168027127767,41,3,
0:0:6:1:1:8:9:4:2,1328.0,4.032902151364777,1896.6,247.72875232507243,179725.5587342878,0.8966318234610917,0.9101803322039036,42,4,
0:0:6:1:1:9:9:5:1,1276.0,3.968334917804081,1898.5999999999997,242.13636422931404,178955.74660528245,0.9454123112659698,0.9068236557354935,49,3,
0:0:6:1:1:9:9:4:2,1344.0,4.082000579430546,1936.9999999999995,233.60249888970074,175726.88833578327,0.9024390243902439,0.9034460154140287,43,4,
0:0:7:0:0:8:9:5:1,1324.0,4.100627766820117,2027.1999999999996,179.44050723212135,100027.66139363099,0.8943089430894309,0.9435523081739691,52,3,
0:0:7:0:0:8:9:4:2,1328.0,4.261874523953618,2143.6,197.87396512406525,116405.90202307468,0.8734030197444832,0.9383698080640719,42,4,
0:0:7:0:0:9:9:5:0,752.0,3.5007593025367325,2164.1999999999994,97.95375948412727,0.0,1.0,1.0,47,0,
0:0:7:0:0:9:9:5:1,1144.0,3.889278750668843,2039.9999999999995,164.66900432587445,78693.9553052242,0.9570267131242741,0.9554478046200314,51,2,
