Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:2:0:0:9:9:4:0,768.0,1.8119407242316152,605.0000000000001,34.8779427279649,0.0,1.0,1.0,48,0,
0:0:2:0:0:9:9:3:1,936.0,2.1011676733979265,630.2,66.40728223018887,24943.594998779714,0.9176319176319176,0.968224512661241,38,2,
0:0:2:1:0:9:9:3:1,952.0,2.1296441914289748,628.2,74.53353674031328,41316.9019666265,0.9626769626769627,0.944054485707751,39,2,
0:0:3:0:0:8:9:4:0,820.0,2.034448814656759,700.0000000000001,60.76672898830165,32675.688177242282,0.8777348777348777,0.9466880699873255,41,1,
0:0:3:0:0:8:9:3:1,936.0,2.298661102214652,779.3999999999999,70.65967642078469,43639.59236004171,0.8996138996138996,0.9330994706549949,38,2,
0:0:3:0:0:9:9:4:0,736.0,1.9898113529023596,775.5999999999999,34.48342120513354,0.0,1.0,1.0,46,0,
0:0:3:0:0:9:9:3:1,936.0,2.274900207837951,781.6,49.99746149008802,14371.299286537922,0.9575289575289575,0.977481048945162,38,2,
0:0:3:1:0:8:9:4:0,804.0,2.116950922278211,762.6000000000001,78.27086661016963,48746.8148171398,0.8970398970398971,0.9321282596074475,40,1,
0:0:3:1:0:9:9:3:0,772.0,2.019309417759525,722.0000000000001,75.00341759915071,40626.669121647865,0.9407979407979408,0.9460718986202128,38,1,
0:0:3:1:0:9:9:3:1,952.0,2.308999219760267,760.0,82.09239375372749,54752.66651288002,0.915057915057915,0.9233681820124713,39,2,
0:0:3:1:1:8:8:4:1,968.0,2.3121742503372444,740.8,87.75939251203916,67437.47078808339,0.8944658944658944,0.8991254114528737,40,2,
0:0:3:1:1:8:9:3:1,920.0,2.251188030564091,742.8000000000002,86.37309974829849,61331.49382217057,0.8867438867438867,0.9138485144058712,37,2,
0:0:3:1:1:9:8:4:1,968.0,2.3478156061145645,765.8000000000001,90.45272595101673,70605.51880791706,0.9343629343629344,0.8957532268457948,40,2,
0:0:3:1:1:9:9:3:0,772.0,2.0826269939879265,758.6000000000003,87.60117432861865,59582.18065422834,0.9227799227799228,0.9205648525722044,38,1,
0:0:4:0:0:8:9:4:0,820.0,2.3065934470997194,912.8000000000002,59.42310839648168,32675.688177242282,0.8777348777348777,0.9447702649710046,41,1,
0:0:4:0:0:8:9:3:1,936.0,2.4487659427323685,906.8000000000001,59.891137503050125,28384.413396414384,0.8854568854568855,0.9559905916540713,38,2,
0:0:4:0:0:9:9:4:0,704.0,2.098670764347974,892.6000000000004,34.06718389837554,0.0,1.0,1.0,44,0,
0:0:4:0:0:9:9:4:1,968.0,2.4842792611210367,903.0,59.284985891045345,29505.993745659216,0.9047619047619048,0.9526662094300445,40,2,
0:0:4:1:0:8:9:3:0,756.0,2.2601559004892064,922.8000000000001,77.34113468011334,51638.11964587944,0.8815958815958816,0.923221050429045,37,1,
0:0:4:1:0:8:9:3:1,920.0,2.478282148512088,929.1999999999999,76.42522939389255,49022.97162038523,0.8996138996138996,0.928541050319179,37,2,
0:0:4:1:0:9:9:3:0,788.0,2.243464232267586,876.4000000000001,78.7717084719141,53747.48428377064,0.9047619047619048,0.9200954115030602,39,1,
0:0:4:1:0:9:9:3:1,952.0,2.4537028979052202,874.6000000000001,79.927151672356,55220.485914023084,0.9485199485199485,0.9182145161773793,39,2,
0:0:4:1:1:8:8:3:1,920.0,2.4520453611993758,885.6,99.63924565191506,80008.66534577686,0.851994851994852,0.8892142780567712,37,2,
0:0:4:1:1:8:9:3:1,952.0,2.4985399379245816,904.8,84.56553176740005,64162.01160395711,0.8906048906048906,0.901740375615429,39,2,
0:0:4:1:1:9:8:3:1,936.0,2.4022961335974196,817.7999999999997,112.78409580519528,98759.6235926072,0.9111969111969112,0.8646705966141834,38,2,
0:0:4:1:1:9:9:3:0,740.0,2.2014527737802605,879.4000000000001,91.12880522726233,60120.32639594755,0.9510939510939511,0.9248676972336651,36,1,
0:0:4:1:1:9:9:3:1,888.0,2.39070980003095,878.0,91.5815146240483,66317.50726708492,0.9253539253539254,0.9105091944069708,35,2,
0:0:5:0:0:8:9:4:0,820.0,2.3749848604928063,965.0000000000003,60.363236602910234,32675.688177242282,0.8777348777348777,0.9461262889503598,41,1,
0:0:5:0:0:8:9:3:1,952.0,2.5813422919708375,987.8000000000003,65.90296086134063,40189.25989780235,0.8584298584298584,0.9345321517654911,39,2,
0:0:5:0:0:9:9:4:0,656.0,2.224926241860351,1038.4,34.36768992549235,0.0,1.0,1.0,41,0,
0:0:5:0:0:9:9:4:1,968.0,2.658061881910385,1033.8000000000002,63.514082244368815,36226.86118355419,0.9021879021879022,0.9414217771960143,40,2,
0:0:5:1:0:8:9:3:0,756.0,2.2809567164933617,935.2,81.10336871534183,54070.01259396282,0.8983268983268984,0.9234274872092841,37,1,
0:0:5:1:0:8:9:3:1,920.0,2.5322521806572507,971.0000000000003,76.55994437068325,48336.169751353525,0.879021879021879,0.9305028024972138,37,2,
0:0:5:1:0:9:9:3:0,788.0,2.40505316486748,1004.6000000000001,76.1263091020319,47730.87814406533,0.9832689832689833,0.9313343670224302,39,1,
0:0:5:1:0:9:9:3:1,936.0,2.6979999962480083,1081.2,79.14599708470263,58368.640516422216,0.9305019305019305,0.9072229697292465,38,2,
0:0:5:1:1:8:8:3:1,808.0,2.411694466185404,954.4,111.4866002260587,86694.45715170269,0.8262548262548263,0.8965851207186329,30,2,
0:0:5:1:1:8:9:3:0,740.0,2.4518744916253237,1072.6000000000004,92.50647999287621,65005.81006401271,0.8635778635778636,0.9155484060649866,36,1,
0:0:5:1:1:8:9:3:1,952.0,2.651565976855548,1023.7999999999998,84.46676401676106,64162.01160395711,0.8906048906048906,0.9015043906473323,39,2,
0:0:5:1:1:9:8:3:1,888.0,2.6537271967241702,1075.2,98.74603185468033,80426.1020311509,0.9086229086229086,0.885689832751331,35,2,
0:0:5:1:1:9:9:3:0,676.0,2.3517709758105467,1057.4,93.92604820479471,61894.10273682583,0.9317889317889317,0.9250242574896138,32,1,
0:0:5:1:1:9:9:3:1,936.0,2.605610346154518,1007.6000000000003,80.9592389620605,59093.865574563344,0.9073359073359073,0.909098944648569,38,2,
0:0:5:2:2:8:8:3:1,972.0,2.797841690895717,1070.0,131.92299382597201,121388.002767695,0.842985842985843,0.8465014114600375,30,3,
0:0:6:0:0:8:9:3:0,788.0,2.5389843268797043,1119.6,65.19082198553058,34682.82384244644,0.8983268983268984,0.9475707275388233,39,1,
0:0:6:0:0:8:9:4:1,968.0,2.7568046300934563,1110.6,63.43719758261549,30917.76561178142,0.8712998712998713,0.9541296536262621,40,2,
0:0:6:0:0:9:9:4:0,672.0,2.3773415943063374,1139.2,35.994418776024155,0.0,1.0,1.0,42,0,
0:0:6:0:0:9:9:3:1,952.0,2.713557546525257,1092.4,64.03421365012444,36226.86118355419,0.9021879021879022,0.9421919042898712,39,2,
0:0:6:1:0:8:9:3:0,740.0,2.4673146089918405,1099.2,77.9034511866599,45587.078958858096,0.8893178893178894,0.9389084241441,36,1,
0:0:6:1:0:8:9:3:1,856.0,2.7443448263971355,1198.3999999999999,77.95593011057461,50036.81382687757,0.851994851994852,0.9284603818575932,33,2,
0:0:6:1:0:9:9:3:0,772.0,2.501439030736694,1089.4,82.2181268824111,58743.897983886,0.9099099099099099,0.9128138306637636,38,1,
0:0:6:1:0:9:9:3:1,904.0,2.829331699068958,1218.3999999999999,75.99073017658017,46822.597644332185,0.9343629343629344,0.9333667673132315,36,2,
0:0:6:1:1:8:8:2:1,956.0,2.8554885873627427,1160.4,102.31463238085121,82153.8691786331,0.8584298584298584,0.8892233761511215,29,3,
0:0:6:1:1:8:9:3:1,888.0,2.836769471416899,1230.8000000000002,85.36987929093047,64162.01160395711,0.8906048906048906,0.9036208997098467,35,2,
0:0:6:1:1:9:8:3:1,840.0,2.6359248845624776,1104.7999999999997,103.31363530504561,80426.1020311509,0.9086229086229086,0.8963485911626516,32,2,
0:0:6:1:1:9:9:3:1,936.0,2.7484462078898737,1110.0000000000002,89.54270353043148,65519.00474585889,0.9292149292149292,0.9086592443290029,38,2,
0:0:6:2:1:8:8:2:1,956.0,2.7973141869686615,1088.8000000000002,128.71312327464992,117053.31167098475,0.8378378378378378,0.851142632683388,29,3,
0:0:6:2:1:8:9:2:1,956.0,2.9282734904636802,1197.8,121.46850209027957,92628.43728671625,0.879021879021879,0.900713062376441,29,3,
0:0:6:2:2:8:8:3:1,972.0,2.862762972083062,1120.8000000000002,131.56682930853907,121388.002767695,0.842985842985843,0.8453984808093996,30,3,
0:0:7:0:0:8:9:3:0,692.0,2.661011395330838,1302.8000000000002,72.80585417206113,34682.82384244644,0.8983268983268984,0.9556564174010528,33,1,
0:0:7:0:0:8:9:3:1,904.0,2.863029828934984,1253.6000000000001,66.97417708248223,28972.916130020363,0.8957528957528957,0.9614137299735911,36,2,
0:0:7:0:0:9:9:4:0,640.0,2.493162057968827,1256.1999999999998,40.98691904177869,0.0,1.0,1.0,40,0,
0:0:7:0:0:9:9:3:1,952.0,2.8946219911667255,1250.3999999999999,46.72128713654564,6601.689383786547,0.990990990990991,0.9901382999477316,39,2,
0:0:7:1:0:8:9:3:0,692.0,2.6336888735536097,1280.2000000000003,74.17625475115452,34682.82384244644,0.8983268983268984,0.9568538768546332,33,1,
0:0:7:1:0:8:9:3:1,888.0,2.874011700207387,1270.6000000000004,74.50709106113943,40783.27463621662,0.8906048906048906,0.9451698629418325,35,2,
0:0:7:1:0:9:9:3:0,692.0,2.6946886116311397,1324.6000000000001,77.17305123739558,42255.54513221159,0.9472329472329473,0.9451431009796468,33,1,
0:0:7:1:0:9:9:3:1,936.0,3.010309477985997,1324.4000000000003,78.61046439511924,50206.41592606098,0.9009009009009009,0.9290850906496797,38,2,
0:0:7:1:1:8:8:2:1,940.0,2.948586722447414,1248.0,103.05188334164079,82153.8691786331,0.8584298584298584,0.8909407044070137,28,3,
0:0:7:1:1:8:9:3:1,808.0,2.7780948725615437,1256.6,93.97971598031951,65931.94303259243,0.8468468468468469,0.9158136763268176,30,2,
0:0:7:1:1:9:9:2:0,628.0,2.6118128011534956,1299.8000000000002,101.57854649626577,61894.10273682583,0.9317889317889317,0.9346237818808825,29,1,
0:0:7:1:1:9:9:3:1,888.0,2.940274948325076,1306.6000000000004,89.99363484858344,59218.482620796305,0.9253539253539254,0.9252161025572748,35,2,
0:0:7:2:1:8:9:2:1,940.0,3.043979915893751,1303.0,122.17239464944437,92628.43728671625,0.879021879021879,0.9018856408085503,28,3,
0:0:8:0:0:8:9:2:1,792.0,2.9145586730005077,1400.6000000000001,72.01208892139442,25180.43284385388,0.8996138996138996,0.9710981955918783,29,2,
0:0:8:0:0:9:9:3:0,624.0,2.669141188171578,1404.8000000000002,45.122703209316136,0.0,1.0,1.0,39,0,
0:0:8:0:0:9:9:3:1,856.0,2.9923628895227488,1407.0000000000002,62.065965159175434,21498.052806360676,0.9613899613899614,0.9714537579392176,33,2,
0:0:8:1:0:8:9:3:0,676.0,2.778258745397788,1407.4000000000003,75.30704517408124,35237.37335115019,0.8738738738738738,0.9568076125749847,32,1,
0:0:8:1:0:8:9:3:1,808.0,2.9943853055842813,1433.6000000000004,85.03738243898604,47445.10366188605,0.87001287001287,0.9434726146974464,30,2,
0:0:8:1:0:9:9:3:0,676.0,2.778430607611198,1408.4,74.44058211390066,30032.54449279413,0.9073359073359073,0.9649884894035199,32,1,
0:0:8:1:0:9:9:3:1,972.0,3.146955226330647,1395.8000000000002,77.3842108589123,39692.69071537112,0.9433719433719434,0.9504494262596763,30,3,
0:0:9:0:0:9:9:3:0,592.0,2.8324353680060046,1560.6000000000001,48.202280940665695,0.0,1.0,1.0,37,0,
0:0:9:0:0:9:9:2:1,760.0,3.067979602546295,1555.0,68.82015117847115,21498.052806360676,0.9613899613899614,0.9750046483178053,27,2,
0:0:9:1:0:9:9:2:0,628.0,2.9727505118604305,1607.6000000000001,74.2271477155542,27947.283463502554,0.9459459459459459,0.9681229845971524,29,1,
