Problem,Win Length,Extra Routes,Times,Dist,Dels/route,Len Route,Time Route
P-n16-k8,1,0,2290.1,733.2977003,1.875,48.88651336,152.6733333
P-n19-k2,1,1.6,2195.5,690.1074477,3.461538462,38.33930265,121.9722222
P-n20-k2,1,1.7,2215.1,747.1114598,3.518518519,39.32165578,116.5842105
P-n21-k2,1,1.75,2444.9,722.6422824,3.636363636,36.13211412,122.245
P-n22-k2,1,2,2631.1,756.3296111,3.5,36.01569577,125.2904762
P-n22-k8,1,0.3125,3044.4,1059.456077,2,50.45028939,144.9714286
P-n23-k8,1,0.4375,3285.5,988.3504268,1.913043478,44.9250194,149.3409091
P-n40-k5,1,1.98,5240.7,1744.842469,2.617449664,44.73955048,134.3769231
P-n45-k5,1,2.66,6436.5,2084.985565,2.404371585,47.38603558,146.2840909
P-n50-k7,1,1.685714286,7176.3,2187.174736,2.606382979,44.6362191,146.455102
P-n50-k8,1,1.325,7062.5,2085.864526,2.634408602,42.56866379,144.1326531
P-n50-k10,1,1.07,6912.7,2155.178248,2.367149758,43.98322956,141.0755102
P-n51-k10,1,1.03,7131.4,2319.773399,2.463054187,46.39546798,142.628
P-n55-k7,1,2.042857143,7963.3,2411.59045,2.535211268,44.65908241,147.4685185
P-n55-k8,1,1.625,7857.4,2374.736677,2.571428571,43.97660514,145.5074074
P-n55-k10,1,1.14,8003.9,2401.704783,2.523364486,44.4760145,148.2203704
P-n55-k15,1,0.62,8320.3,2500.894914,2.222222222,46.31286878,154.0796296
P-n60-k10,1,1.48,8663.4,2742.581295,2.379032258,46.48442873,146.8372881
P-n60-k15,1,0.793333333,8554.9,2811.831418,2.19330855,47.65815963,144.9983051
P-n65-k10,1,1.61,9621,3134.780178,2.45210728,48.98094028,150.328125
P-n70-k10,1,1.97,10048.8,3504.078334,2.323232323,50.78374397,145.6347826
P-n76-k4,1,7.25,11323.6,3845.679388,2.272727273,51.27572518,150.9813333
P-n76-k5,1,5.64,11666.4,3888.736361,2.259036145,51.84981815,155.552
P-n101-k4,1,10.775,16929.9,5529.121507,2.123142251,55.29121507,169.299
P-n16-k8,10,0,827,692.5933553,1.875,46.17289035,55.13333333
P-n19-k2,10,0.05,584.3,516.6903378,8.571428571,28.70501877,32.46111111
P-n20-k2,10,0.2,682,556.9422493,7.916666667,29.31274997,35.89473684
P-n21-k2,10,0.2,736.6,602.2831841,8.333333333,30.1141592,36.83
P-n22-k2,10,0.05,737.3,618.3802977,10,29.44668084,35.10952381
P-n22-k8,10,0.2,1310.7,1003.432227,2.1875,47.78248698,62.41428571
