Problem,Win Length,Optimisation Criterion,Opt Routes,Avg Routes,Extra Routes,Times,Dist,Idle,Dels/route,Len Route,Time Route,% Idle
A-n32-k5,1,ROUTES,5,11,1.2,5411.4,3873.872724,2052.5,2.818181818,124.9636363,174.5612903,0.379291865
A-n32-k5,1,TIME,5,13.1,1.62,3499.5,3378.361865,1067.4,2.366412214,108.979415,112.8870968,0.305015002
A-n32-k5,1,DIST,5,11.6,1.32,5583.3,2912.789517,2800.5,2.672413793,93.96095215,180.1064516,0.501585084
A-n32-k5,1,IDLE,5,31,5.2,5731,5611.136852,0,1,181.0044146,184.8709677,0
A-n33-k5,1,ROUTES,5,11.5,1.3,5219.3,3229.81349,2307.8,2.782608696,100.9316716,163.103125,0.442166574
A-n33-k5,1,TIME,5,16.1,2.22,2848.1,2657.007222,318.9,1.98757764,83.03147569,89.003125,0.111969383
A-n33-k5,1,DIST,5,13.1,1.62,5160.3,2252.883204,2965.3,2.442748092,70.40260011,161.259375,0.574637133
A-n33-k5,1,IDLE,5,32,5.4,4050,3928.016512,0,1,122.750516,126.5625,0
A-n33-k6,1,ROUTES,6,11.1,0.85,4995.4,2999.949655,2293.4,2.882882883,93.74842673,156.10625,0.459102374
A-n33-k6,1,TIME,6,17.2,1.866666667,2899,2688.906909,273,1.860465116,84.0283409,90.59375,0.094170404
A-n33-k6,1,DIST,6,13.4,1.233333333,4818.9,2161.063725,2698.3,2.388059701,67.53324139,150.590625,0.559941065
A-n33-k6,1,IDLE,6,31.7,4.283333333,3922.7,3796.818981,0,1.009463722,118.6505932,122.584375,0
A-n34-k5,1,ROUTES,5,12.2,1.44,5852.1,3568.082066,2604.7,2.704918033,108.123699,177.3363636,0.445088088
A-n34-k5,1,TIME,5,15.8,2.16,3370,3026.29906,423.5,2.088607595,91.70603211,102.1212121,0.125667656
A-n34-k5,1,DIST,5,12.8,1.56,5422.1,2616.64768,2890.9,2.578125,79.29235393,164.3060606,0.533169805
A-n34-k5,1,IDLE,5,33,5.6,4869,4732.698995,0,1,143.4151211,147.5454545,0
A-n36-k5,1,ROUTES,5,13.1,1.62,6436.4,4286.098796,2606.5,2.671755725,122.4599656,183.8971429,0.404962401
A-n36-k5,1,TIME,5,15.3,2.06,4009.1,3570.687667,820.1,2.287581699,102.0196476,114.5457143,0.204559627
A-n36-k5,1,DIST,5,13.6,1.72,5820,3199.572909,2798.9,2.573529412,91.41636884,166.2857143,0.480910653
A-n36-k5,1,IDLE,5,35,6,5985,5844.826674,0,1,166.9950478,171,0
A-n37-k5,1,ROUTES,5,12.9,1.58,5965.2,3507.209423,2834.6,2.790697674,97.42248397,165.7,0.475189432
A-n37-k5,1,TIME,5,17.5,2.5,3292.2,2961.924004,491.2,2.057142857,82.27566678,91.45,0.149201142
A-n37-k5,1,DIST,5,14.3,1.86,5451.9,2397.679822,3143.7,2.517482517,66.60221729,151.4416667,0.576624663
A-n37-k5,1,IDLE,5,36,6.2,4282,4133.545296,0,1,114.8207027,118.9444444,0
A-n37-k6,1,ROUTES,6,13.4,1.233333333,6280.4,3940.562141,2647.4,2.686567164,109.4600595,174.4555556,0.42153366
A-n37-k6,1,TIME,6,18.8,2.133333333,3975.2,3558.114996,525.8,1.914893617,98.83652765,110.4222222,0.132270074
A-n37-k6,1,DIST,6,13.8,1.3,5601,3030.557377,2684,2.608695652,84.18214935,155.5833333,0.479200143
A-n37-k6,1,IDLE,6,36,5,5862,5718.268525,0,1,158.8407924,162.8333333,0
A-n38-k5,1,ROUTES,5,13.2,1.64,6211.6,3649.492259,2918.4,2.803030303,98.63492591,167.8810811,0.469830639
A-n38-k5,1,TIME,5,19,2.8,3535.3,3283.459806,379.5,1.947368421,88.74215693,95.54864865,0.107345911
A-n38-k5,1,DIST,5,14.9,1.98,5765.1,2645.650935,3194.9,2.483221477,71.50407932,155.8135135,0.554179459
A-n38-k5,1,IDLE,5,37,6.4,4757,4612.980379,0,1,124.6751454,128.5675676,0
A-n39-k5,1,ROUTES,5,13.9,1.78,6721.8,4074.768624,2922.8,2.73381295,107.2307533,176.8894737,0.434824005
A-n39-k5,1,TIME,5,20.9,3.18,3982.7,3740.435296,636.9,1.818181818,98.43250779,104.8078947,0.159916639
A-n39-k5,1,DIST,5,15.3,2.06,6254,3027.280144,3328.2,2.483660131,79.66526694,164.5789474,0.53217141
A-n39-k5,1,IDLE,5,38,6.6,5572,5427.382144,0,1,142.8258459,146.6315789,0
A-n39-k6,1,ROUTES,6,14,1.333333333,6540,4233.130549,2746.5,2.714285714,111.3981723,172.1052632,0.419954128
