prob,size,demand,avg bags,winlen,dist,time,costDel,getRoutes,getCost,dels/route,loadFactor
A-n32-k5.vrp,32,410,12,1,3000.548588,2748,6.196741914,10,2540.664185,3,41
A-n32-k5.vrp,32,410,12,1,2553.797108,5488,7.805839663,11,3200.394262,2,37.27272727
A-n32-k5.vrp,32,410,12,1,2902.778246,4054,6.005914768,8,2462.425055,4,51.25
A-n32-k5.vrp,32,410,12,1,2924.555654,3139,5.165787833,7,2117.973012,4,58.57142857
A-n32-k5.vrp,32,410,12,1,2871.965168,3417,6.88639006,11,2823.419925,2,37.27272727
A-n32-k5.vrp,32,410,12,1,2835.342878,4150,6.033500285,8,2473.735117,4,51.25
A-n32-k5.vrp,32,410,12,1,2986.872325,2938,5.485522102,8,2249.064062,4,51.25
A-n32-k5.vrp,32,410,12,1,2891.789561,3770,6.664242387,10,2732.339379,3,41
A-n32-k5.vrp,32,410,12,1,2860.495589,3850,6.694336546,10,2744.677984,3,41
A-n32-k5.vrp,32,410,12,1,2860.194995,3868,6.703031255,10,2748.242814,3,41
A-n32-k5.vrp,32,410,12,1,2834.543788,3787,7.056199081,11,2893.041623,2,37.27272727
A-n32-k5.vrp,32,410,12,1,2666.052265,3952,6.288605159,9,2578.328115,3,45.55555556
A-n32-k5.vrp,32,410,12,1,2738.201901,3869,6.668706396,10,2734.169622,3,41
A-n32-k5.vrp,32,410,12,1,2712.550694,3788,7.021874223,11,2878.968431,2,37.27272727
A-n32-k5.vrp,32,410,12,14,2289.55956,2014,3.635801143,5,1490.678469,6,82
A-n32-k5.vrp,32,410,12,14,2284.087807,2079,3.665947008,5,1503.038273,6,82
A-n33-k5.vrp,33,446,13,1,1953.419072,4360,6.512444017,11,2904.550031,3,40.54545455
A-n33-k5.vrp,33,446,13,1,2724.681226,3108,4.68248364,7,2088.387703,4,63.71428571
A-n33-k5.vrp,33,446,13,1,2207.342021,3166,6.043630082,11,2695.459016,3,40.54545455
A-n33-k5.vrp,33,446,13,1,2370.176401,2531,5.433880356,10,2423.510639,3,44.6
A-n33-k5.vrp,33,446,13,1,2182.187143,3211,5.32178452,9,2373.515896,3,49.55555556
A-n33-k5.vrp,33,446,13,1,2165.675175,3239,5.697721963,10,2541.183995,3,44.6
A-n33-k5.vrp,33,446,13,1,2464.821338,2658,4.7802334,8,2131.984097,4,55.75
A-n33-k5.vrp,33,446,13,1,2215.970616,2776,5.135579736,9,2290.468562,3,49.55555556
A-n33-k5.vrp,33,446,13,1,2233.204482,2898,4.827096243,8,2152.884924,4,55.75
A-n33-k5.vrp,33,446,13,1,2367.573169,2693,6.976695204,14,3111.606061,2,31.85714286
A-n33-k5.vrp,33,446,13,1,2215.107056,3055,5.628178308,10,2510.167526,3,44.6
