Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:2:7:1:0:9:9:4:0,352.0,2.55307947433959,816.8000000000001,59.23122715734264,0.0,1.0,1.0,22,0,
0:2:8:1:0:9:9:4:0,352.0,2.6702517106003194,875.0,57.39107279875374,0.0,1.0,1.0,22,0,
0:2:9:1:0:9:9:4:0,352.0,2.7943242541384117,934.6,57.46996624057595,0.0,1.0,1.0,22,0,
0:3:9:1:0:9:9:4:0,352.0,3.465558975637358,1257.8,57.13386728156923,0.0,1.0,1.0,22,0,
0:4:9:1:0:9:9:4:0,352.0,3.8634327219817544,1443.2,63.111139273223834,0.0,1.0,1.0,22,0,
1:2:5:1:0:9:9:6:0,692.0,2.807237230079773,588.1999999999998,70.08110766837102,41598.62657601318,0.972972972972973,0.9374437403553821,33,1,
1:2:5:2:0:9:9:6:0,644.0,2.765916203448942,609.5999999999998,76.80569385894121,41598.62657601318,0.972972972972973,0.9460806293436174,30,1,
1:2:6:1:0:9:9:7:0,560.0,2.6742412210853668,683.4,42.91002734206143,0.0,1.0,1.0,35,0,
1:2:6:2:0:9:9:5:0,612.0,2.872483565914491,689.5999999999998,80.06459520487051,41598.62657601318,0.972972972972973,0.9494621275995823,28,1,
1:2:6:2:1:9:9:5:0,612.0,2.7686575329168654,638.1999999999999,81.52427333301229,50943.57420620143,0.9604989604989606,0.9317337434193598,28,1,
1:2:6:3:2:9:8:5:0,612.0,2.8412713283822892,636.8000000000001,117.85150895188114,104099.32605078157,0.920997920997921,0.8617364602181214,28,1,
1:2:7:1:0:9:9:6:0,512.0,2.799837389207133,791.5999999999999,43.12178420863101,0.0,1.0,1.0,32,0,
1:2:7:2:0:9:9:4:0,548.0,2.838011297908426,735.5999999999999,81.48343429395302,28905.28754397714,0.975051975051975,0.9705472153038662,24,1,
1:2:7:2:1:8:9:4:0,548.0,2.8716901783050104,730.1999999999998,103.08297576471007,73547.54988974691,0.8794178794178794,0.9130515716048314,24,1,
1:2:8:1:0:9:9:6:0,496.0,2.8538138187893387,832.3999999999999,44.28444683767202,0.0,1.0,1.0,31,0,
1:2:8:2:0:9:9:3:0,452.0,2.8724648495700125,851.4000000000001,78.25559264317613,18032.572129344167,0.9480249480249481,0.9827706607960355,18,1,
1:2:9:1:0:9:9:4:0,384.0,2.8583924426260174,935.8,55.086764903114585,0.0,1.0,1.0,24,0,
1:3:5:2:0:9:9:6:0,692.0,2.8793506346431723,610.9999999999999,81.96765526336601,46372.769479478535,0.9293139293139293,0.942191495938125,33,1,
1:3:6:1:0:8:9:6:0,692.0,2.9707482590754632,669.8,67.12991261529793,32074.355392599107,0.896049896049896,0.955461081425303,33,1,
1:3:6:1:0:9:9:6:0,692.0,2.9707921063082128,666.1999999999999,70.75100313425048,41598.62657601318,0.972972972972973,0.9384262784559434,33,1,
1:3:6:2:0:9:9:6:0,676.0,3.0375198410135584,703.4000000000001,81.64704352752128,48534.611072594824,0.9771309771309772,0.9372912588612413,32,1,
1:3:6:2:1:8:9:5:0,596.0,2.9146541095879286,709.6,96.34862671179343,73390.12495182954,0.8898128898128899,0.9009430118262703,27,1,
1:3:6:2:1:9:8:5:0,628.0,2.976495331435179,699.2,104.49425442032096,80502.17827660005,0.9002079002079002,0.8985883246507509,29,1,
1:3:6:2:1:9:9:6:0,676.0,2.960087715009496,666.2,81.60219091956758,54830.64560182528,0.9043659043659044,0.9223241811694654,32,1,
1:3:6:3:2:8:8:5:0,628.0,2.9990093350734823,695.6000000000001,118.92349017034485,100921.88652663566,0.893970893970894,0.8744571365099335,29,1,
1:3:6:3:2:9:8:6:0,644.0,2.8814758875699513,625.9999999999999,115.98990192114671,104099.32605078157,0.920997920997921,0.8561005768876256,30,1,
1:3:7:1:0:8:9:6:0,676.0,3.091406229166001,741.5999999999999,69.36639622884654,32074.355392599107,0.896049896049896,0.9575493528421946,32,1,
