Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:3:7:1:0:9:9:3:0,496.0,2.8537841309627487,1649.6,145.98865716308734,0.0,1.0,1.0,31,0,
0:3:8:1:0:9:9:3:0,512.0,3.121720610896814,1854.8000000000002,139.9416505501412,0.0,1.0,1.0,32,0,
0:3:9:1:0:9:9:3:0,496.0,3.2365954604316682,1964.4000000000005,138.58615472662902,0.0,1.0,1.0,31,0,
0:4:9:1:0:9:9:3:0,512.0,3.6524315425515126,2278.8000000000006,142.10252866886387,0.0,1.0,1.0,32,0,
1:3:6:2:0:9:9:3:0,872.0,3.130940821711022,1460.4,181.74547983395072,71129.63448418785,0.9427148194271482,0.9664128180569986,34,2,
1:3:7:1:0:9:9:4:0,984.0,3.4406413394021835,1605.8000000000002,173.0349955399536,71129.63448418785,0.9427148194271482,0.96407208156831,41,2,
1:3:7:2:0:9:9:4:0,920.0,3.400530378401746,1625.4,185.22589385660183,88393.77737004453,0.9290161892901619,0.9555400135839935,37,2,
1:3:7:2:1:8:9:4:0,1000.0,3.5092267161252644,1604.2000000000003,213.70905304858695,131984.55980371416,0.8991282689912827,0.9331018051606185,42,2,
1:3:7:2:1:9:9:4:0,1016.0,3.501319936744881,1580.6000000000001,214.9599092061395,125207.80803877173,0.912826899128269,0.9393737666307449,43,2,
1:3:8:1:0:9:9:5:0,752.0,3.2898728982635888,1767.0000000000002,122.76793730566126,0.0,1.0,1.0,47,0,
1:3:8:2:0:9:9:4:0,920.0,3.4811501838145715,1692.6000000000001,182.7635976031005,88393.77737004453,0.9290161892901619,0.9546503683052725,37,2,
1:3:8:2:1:8:9:4:0,740.0,3.3400064580743343,1722.4,219.62518583369032,129239.45626030678,0.8953922789539228,0.9383399764795911,36,1,
1:3:8:2:1:9:9:3:0,824.0,3.431169091642153,1721.8000000000002,209.4287805886489,118917.15755037295,0.900373599003736,0.941848046161626,31,2,
