Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:2:4:2:0:9:9:5:0,160.0,1.5198838051942334,283.8,27.363979610212283,0.0,1.0,1.0,10,0,
0:2:4:3:0:9:9:4:0,128.0,1.4090974741845528,277.0,31.82021699721134,0.0,1.0,1.0,8,0,
0:2:5:2:0:9:9:5:0,160.0,1.5976356103781129,309.80000000000007,25.46703921721491,0.0,1.0,1.0,10,0,
0:2:5:3:0:9:9:5:0,160.0,1.6684282298356112,325.8,31.412751249039516,0.0,1.0,1.0,10,0,
0:2:6:2:0:9:9:5:0,160.0,1.7494169462010287,357.8,24.51925332231893,0.0,1.0,1.0,10,0,
0:2:6:3:0:9:9:5:0,160.0,1.8786480198695625,391.0,31.38088615956433,0.0,1.0,1.0,10,0,
0:2:7:2:0:9:9:5:0,160.0,1.9181084410625746,409.80000000000007,24.81361672939803,0.0,1.0,1.0,10,0,
0:2:7:3:0:9:9:5:0,160.0,2.0205863715410417,435.0,31.38177517772291,0.0,1.0,1.0,10,0,
0:3:7:2:0:9:9:5:0,160.0,2.0348755006580235,446.0000000000001,24.811405203987125,0.0,1.0,1.0,10,0,
0:3:7:3:0:9:9:4:0,144.0,2.038216239828835,455.20000000000005,32.64703434693877,0.0,1.0,1.0,9,0,
0:3:8:2:0:9:9:5:0,160.0,2.1208228423168864,470.80000000000007,26.655081118234747,0.0,1.0,1.0,10,0,
0:3:8:3:0:9:9:5:0,160.0,2.224493233630704,498.20000000000005,31.392902425518145,0.0,1.0,1.0,10,0,
0:3:9:2:0:9:9:5:0,160.0,2.5022046318576514,589.8000000000001,25.88343587587193,0.0,1.0,1.0,10,0,
0:3:9:3:0:9:9:5:0,160.0,2.3164141374041094,526.5999999999999,31.488382595273997,0.0,1.0,1.0,10,0,
1:2:3:1:0:9:9:8:0,272.0,1.647815163094329,225.6,13.222700559242035,0.0,1.0,1.0,17,0,
1:2:3:2:0:9:9:7:0,240.0,1.537175908136706,215.6,20.924531522378917,0.0,1.0,1.0,15,0,
1:2:3:3:1:8:9:5:1,340.0,1.9144196209882907,220.2,33.27008250637008,16799.363175763967,0.8419354838709677,0.9516209966981108,11,1,
1:2:3:4:2:7:8:5:1,324.0,1.8910768103791358,212.4,49.83381121753205,39158.14757727959,0.7645161290322581,0.8942744346137248,10,1,
1:2:3:7:6:6:7:5:1,324.0,1.9786032110549967,213.0,76.36699542704893,85394.77350105272,0.667741935483871,0.7114350547960235,10,1,
1:2:4:1:0:9:9:8:0,256.0,1.7831014013212032,283.8,12.96143440957301,0.0,1.0,1.0,16,0,
1:2:4:2:0:8:9:5:1,340.0,1.9653612785951726,238.2,31.06199636450348,9041.595400803211,0.8516129032258064,0.9771259230682953,11,1,
1:2:4:2:0:9:9:8:0,256.0,1.7932916794351668,279.00000000000006,20.920420624901702,0.0,1.0,1.0,16,0,
1:2:4:2:0:9:9:5:1,340.0,1.9911644251951437,248.40000000000003,28.86097181049451,7513.5717205600695,0.9516129032258065,0.9800575423414688,11,1,
1:2:4:3:0:8:9:5:1,324.0,1.988297466200415,256.4,35.9722145221286,13046.33279866633,0.8419354838709677,0.969674086600861,10,1,
1:2:4:3:0:9:9:5:1,340.0,1.9865851465872684,239.99999999999997,35.841395442053205,10970.843920136684,0.964516129032258,0.9756387354767491,11,1,
1:2:4:3:1:7:9:5:1,324.0,2.0263003744045545,264.00000000000006,40.153116065411865,23029.45432102622,0.7806451612903226,0.9408910380577833,10,1,
1:2:4:3:1:8:9:5:1,340.0,1.9747933694713458,240.79999999999998,31.38594453611718,15199.126697557787,0.8806451612903226,0.9545647382537324,11,1,
1:2:4:3:1:9:9:5:1,340.0,2.00372455342308,243.8,37.354611561154734,15420.221694904392,0.9096774193548387,0.963861735875741,11,1,
1:2:4:4:1:9:9:5:1,324.0,1.983666518182881,248.0,42.9366206366931,24312.90371886365,0.9064516129032258,0.9421077233132871,10,1,
1:2:4:4:3:8:8:5:1,340.0,2.003014847509095,234.00000000000003,46.93460272781947,43491.12697872707,0.8387096774193549,0.843607192704487,11,1,
1:2:5:1:0:9:9:8:0,272.0,1.887108321099224,299.6,13.403579540759413,0.0,1.0,1.0,17,0,
1:2:5:2:0:9:9:7:0,240.0,1.9042592013583368,329.40000000000003,20.920352421084456,0.0,1.0,1.0,15,0,
1:2:5:3:0:9:9:5:0,176.0,1.7200411330614176,325.8,31.412751249039516,0.0,1.0,1.0,11,0,
1:2:6:1:0:9:9:8:0,256.0,1.9937468731922323,348.4,13.661530689592034,0.0,1.0,1.0,16,0,
1:2:6:2:0:9:9:6:0,192.0,1.8403880696773693,357.6000000000001,20.920301599984363,0.0,1.0,1.0,12,0,
1:2:6:3:0:9:9:5:0,176.0,1.8265693807056316,358.80000000000007,31.436508018745695,0.0,1.0,1.0,11,0,
1:2:7:1:0:9:9:6:0,208.0,2.0194654150494906,401.20000000000005,16.834278665342044,0.0,1.0,1.0,13,0,
1:2:7:2:0:9:9:6:0,192.0,1.9937852925326927,405.0000000000001,21.073440685134617,0.0,1.0,1.0,12,0,
1:2:7:3:0:9:9:5:0,176.0,1.976370255726894,405.20000000000005,31.4747792753371,0.0,1.0,1.0,11,0,
1:3:3:7:5:6:7:5:1,340.0,2.0451939452196917,219.60000000000002,74.41012301810439,81959.87925001465,0.667741935483871,0.7283268799985929,11,1,
1:3:3:7:6:6:7:5:1,324.0,2.0334438826949066,227.8,78.56760363542098,85394.77350105272,0.667741935483871,0.7418434396276651,10,1,
1:3:4:2:0:9:9:5:1,340.0,2.0684472868292434,272.59999999999997,28.618658917065467,7513.5717205600695,0.9516129032258065,0.979852289277075,11,1,
1:3:4:3:0:8:9:5:1,340.0,2.0905629656585454,274.20000000000005,33.87451935414897,13046.33279866633,0.8419354838709677,0.9671357657943731,11,1,
1:3:4:3:0:9:9:5:1,340.0,2.113168186167832,282.0,33.082137712027944,10465.194427243097,0.9516129032258065,0.9746017230944307,11,1,
1:3:4:3:1:7:9:5:1,340.0,2.065404621329157,266.8,33.47543261203875,24379.08072721116,0.7645161290322581,0.9095042265443644,11,1,
1:3:4:3:1:8:9:5:1,340.0,2.1049445759211354,279.2,33.33281853555202,16799.363175763967,0.8419354838709677,0.9517590516975446,11,1,
1:3:4:3:1:9:9:5:1,340.0,2.110646208524149,278.8,35.500324642486255,14176.578769223554,0.964516129032258,0.9654765110288909,11,1,
1:3:4:3:2:6:8:5:1,340.0,2.0974882954037093,269.2,41.021371575149885,36788.90391211697,0.6903225806451613,0.8563703508439564,11,1,
1:3:4:3:2:8:9:5:1,340.0,2.0738864089370463,261.20000000000005,41.70478677048437,29616.015814356608,0.8903225806451613,0.9138349060792839,11,1,
1:3:4:3:2:9:9:5:1,340.0,2.113272978739098,273.4,41.71462340912039,28609.646486807622,0.932258064516129,0.9193268229550889,11,1,
1:3:4:4:1:9:9:5:1,340.0,2.12191209698577,275.4,42.39275006558878,26186.94977443212,0.9193548387096774,0.9330771879894062,11,1,
1:3:4:4:2:7:8:5:1,340.0,2.0642229289717813,257.20000000000005,42.70910798125215,34690.2193153929,0.7419354838709677,0.8863833595494289,11,1,
1:3:4:4:2:7:9:5:1,324.0,2.0532033770898064,269.20000000000005,43.29304689783998,28712.42028026142,0.7838709677419354,0.9241493667242336,10,1,
1:3:4:4:2:8:8:5:1,340.0,2.1187766889183113,274.40000000000003,42.42077356467645,33978.168634469665,0.8225806451612904,0.8898167277197878,11,1,
1:3:4:4:2:8:9:5:1,340.0,2.1039814272099338,269.59999999999997,42.63424243507953,27562.02035276554,0.8354838709677419,0.9275470708973265,11,1,
1:3:4:4:2:9:9:5:1,324.0,2.0669603477456033,273.8,42.95770780113707,28823.361576755793,0.9,0.9225262012933567,10,1,
1:3:4:4:3:7:8:5:1,340.0,2.078874624114144,252.4,52.05113347538466,52044.61129933458,0.7193548387096774,0.8055225773988107,11,1,
1:3:4:4:3:8:8:5:1,340.0,2.1229091689052644,266.8,51.30184236063195,43743.548379278414,0.8032258064516129,0.8730471143558135,11,1,
1:3:4:5:3:7:8:5:1,340.0,2.1876578684179226,285.0,53.17393920955601,52472.01433540617,0.7322580645161291,0.8131502504700683,11,1,
1:3:4:5:3:8:8:5:1,340.0,2.1223797711466417,262.40000000000003,55.537729055458975,49477.19320136636,0.8129032258064516,0.8587623573180245,11,1,
1:3:4:7:5:6:7:4:1,308.0,2.1556545119383044,281.6,78.65289870087423,81959.87925001465,0.667741935483871,0.7778210008926312,9,1,
1:3:4:7:6:6:6:5:1,340.0,2.227919979291329,276.6,74.05519358031187,85394.77350105272,0.667741935483871,0.6706848521835511,11,1,
1:3:4:7:6:6:7:5:1,324.0,2.1036001738578904,252.00000000000003,76.11605389594601,85394.77350105272,0.667741935483871,0.7075062853852289,10,1,
1:3:4:8:7:6:6:5:1,340.0,2.1430382807192885,239.79999999999998,84.54186702297942,96206.48322284046,0.6193548387096774,0.6893897849009825,11,1,
1:3:5:1:0:9:9:8:0,272.0,2.040737083061697,342.20000000000005,18.42849574912619,0.0,1.0,1.0,17,0,
1:3:5:2:0:8:9:5:1,340.0,2.185192697066556,311.6,25.80973609063229,9168.00081085421,0.8032258064516129,0.9704951507961728,11,1,
1:3:5:2:0:9:9:5:1,340.0,2.285140602647827,340.6,27.793586820826377,9140.654506106222,0.9032258064516129,0.9733077034029662,11,1,
1:3:5:3:0:8:9:5:1,340.0,2.260177494465117,327.4,33.255023284186244,13046.33279866633,0.8419354838709677,0.9663028089576694,11,1,
1:3:5:3:0:9:9:5:1,340.0,2.2618417776430895,329.6,31.570951069357633,10970.843920136684,0.964516129032258,0.971332732376529,11,1,
1:3:5:3:1:7:9:5:1,340.0,2.291962090179681,335.0,35.50824795570114,23029.45432102622,0.7806451612903226,0.9271301631833415,11,1,
1:3:5:3:1:8:9:5:1,340.0,2.247932924265698,321.20000000000005,35.65920652236624,27267.12386091303,0.8,0.9001510040823827,11,1,
1:3:5:3:1:9:9:5:1,340.0,2.243294964466271,321.20000000000005,34.22143898454393,18726.739094674227,0.9451612903225807,0.9451940130038812,11,1,
1:3:5:3:2:6:8:5:1,324.0,2.166904432186356,309.0,38.74037397777046,36788.90391211697,0.6903225806451613,0.832782461469443,10,1,
1:3:5:3:2:7:9:5:1,340.0,2.2318778659427956,311.00000000000006,40.88213844226658,30358.806886772116,0.7838709677419354,0.9059323715215553,11,1,
1:3:5:3:2:8:8:5:1,340.0,2.3216811058523414,340.0,39.72114281422577,33403.50165567071,0.8290322580645161,0.8770870117392239,11,1,
1:3:5:3:2:8:9:5:1,340.0,2.234240707639539,312.8,39.814619368257205,30387.81910799624,0.8258064516129032,0.9005353979716603,11,1,
1:3:5:4:1:7:9:5:1,324.0,2.137480421866402,294.8,43.818930778584594,27085.614888202406,0.7903225806451613,0.9330021338283796,10,1,
1:3:5:4:1:8:9:5:1,340.0,2.236110886528199,311.0,42.194374823741654,27267.12386091303,0.8,0.927596720091829,11,1,
1:3:5:4:1:9:9:5:1,340.0,2.2328929229064274,307.8,44.39680610099247,26159.536330575138,0.9096774193548387,0.9382065548733607,11,1,
