Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:3:0:0:8:9:5:1,564.0,2.754058683289648,656.1999999999999,87.97787456258307,48098.71865456256,0.888421052631579,0.9452747822244626,25,1,
0:0:3:0:0:9:9:6:0,496.0,2.639674244583291,706.0,51.84526617706318,0.0,1.0,1.0,31,0,
0:0:3:0:0:9:9:5:1,596.0,2.9250637435073434,710.8,82.60527816598827,43521.89776216948,0.9010526315789473,0.948359325870229,27,1,
0:0:3:0:0:9:9:5:2,760.0,3.1201896796919915,619.6000000000001,102.49009785369577,68313.02020884464,0.9073684210526316,0.9234582720639728,27,2,
0:0:3:1:0:8:9:5:2,728.0,3.0901279332568263,628.0,111.8107682969925,80169.59619610396,0.88,0.9122167799527849,25,2,
0:0:3:1:0:9:9:5:2,792.0,3.360218763010964,698.2,105.90391243020774,73323.10931278417,0.911578947368421,0.9178876415881372,29,2,
0:0:3:1:1:8:8:4:2,696.0,3.1361893333273234,665.4,128.2899333304786,101602.3567924983,0.8463157894736842,0.892480561002037,23,2,
0:0:3:1:1:8:9:4:2,696.0,3.0546340081341232,639.1999999999999,115.75115386370838,88197.4934268684,0.8736842105263158,0.9008777583808284,23,2,
0:0:4:0:0:8:9:6:1,660.0,3.32455228892743,843.0,76.16233724052927,36036.0544284262,0.8778947368421053,0.9560977962991974,31,1,
0:0:4:0:0:8:9:5:2,792.0,3.638827842502652,840.8000000000002,95.64322518875957,63657.41691311186,0.8863157894736842,0.923658827535289,29,2,
0:0:4:0:0:9:9:6:0,496.0,2.8952824229644962,832.7999999999998,46.45915090813589,0.0,1.0,1.0,31,0,
0:0:4:0:0:9:9:6:1,676.0,3.3865306322626014,859.9999999999999,72.60205032473583,34768.60068861424,0.9094736842105263,0.9553098481885771,32,1,
0:0:4:0:0:9:9:5:2,776.0,3.5828549455241085,832.9999999999999,92.8560991239516,59241.240445225136,0.92,0.9292184962866599,28,2,
0:0:4:1:0:8:9:5:2,776.0,3.5958706820504065,825.5999999999999,106.43857397394311,77113.17141728065,0.848421052631579,0.9104247714330247,28,2,
0:0:4:1:0:9:9:5:1,628.0,3.357238241311016,862.4000000000002,104.28816462273244,78908.66032585978,0.9326315789473684,0.9022926221133001,29,1,
0:0:4:1:0:9:9:5:2,760.0,3.4352799336526463,760.6,111.15796848500715,78781.52138839869,0.9052631578947369,0.9141607723292579,27,2,
0:0:4:1:1:8:8:5:1,612.0,3.163963253071002,762.4,128.48254520872575,103799.04124046599,0.8652631578947368,0.8877258034806567,28,1,
0:0:4:1:1:8:8:5:2,776.0,3.5424450590243426,789.0000000000001,117.66140303656242,94089.20714670172,0.8821052631578947,0.8902112301602586,28,2,
0:0:4:1:1:8:9:5:2,776.0,3.62668997816313,830.8,115.87773962748676,87566.72976090349,0.8863157894736842,0.9025454743523812,28,2,
