Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:3:0:0:9:9:5:0,656.0,2.705379461835378,919.7999999999997,63.65995387223929,0.0,1.0,1.0,41,0,
0:0:4:0:0:8:9:5:1,952.0,3.548658445177136,1087.0000000000002,111.48701777734456,74429.09012830115,0.8976897689768977,0.9232344028545586,39,2,
0:0:4:0:0:8:9:4:2,1036.0,3.6550412155291334,1071.7999999999997,107.15497661065504,53909.24771980499,0.8894389438943895,0.9518884740058615,34,3,
0:0:4:0:0:9:9:6:0,672.0,3.016445052024703,1100.2000000000003,55.765701526969785,0.0,1.0,1.0,42,0,
0:0:4:0:0:9:9:6:1,1016.0,3.6375442132092766,1077.0000000000002,111.35179320482145,73131.93510963241,0.9191419141914191,0.9254744899222394,43,2,
0:0:4:0:0:9:9:5:2,1068.0,3.706612084026348,1084.6,93.6069229199669,41426.32182671647,0.9620462046204621,0.9601467656572414,36,3,
0:0:4:1:0:8:9:5:0,820.0,3.281410296678484,1025.8000000000002,142.73463978716114,97936.41894668415,0.8910891089108911,0.919260791231755,41,1,
0:0:4:1:0:8:9:6:1,1000.0,3.7098352002997466,1100.8000000000002,147.36013138164606,108699.89692277112,0.8910891089108911,0.9071810205701432,42,2,
0:0:4:1:0:8:9:4:2,1020.0,3.735943869636532,1089.4,154.58198499973824,113926.2875621478,0.8960396039603961,0.9073444117333154,33,3,
0:0:4:1:0:9:8:5:2,1052.0,3.641182958821418,1018.4000000000004,136.1568730457789,107681.24619095493,0.9026402640264026,0.8928049407309538,35,3,
0:0:4:1:0:9:9:5:0,772.0,3.2399744524714356,1054.8000000000004,136.62451819768972,98417.87736222695,0.9471947194719472,0.9114199218281499,38,1,
0:0:4:1:0:9:9:5:1,904.0,3.50820506148636,1079.0000000000002,142.97226726073382,108528.84086153592,0.929042904290429,0.9016434062096578,36,2,
0:0:4:1:0:9:9:5:2,1068.0,3.7023379376485797,1041.6000000000001,134.01679021503892,93261.55672068457,0.9306930693069307,0.9170954810032457,36,3,
0:0:4:1:1:8:8:5:2,1052.0,3.723325628116899,1056.8000000000002,147.5353306388403,120437.31872900497,0.8927392739273927,0.885109626083515,35,3,
0:0:4:1:1:8:9:4:2,1036.0,3.779902477072029,1094.6000000000001,160.02090110564927,117700.26285222819,0.8778877887788779,0.9077105529944399,34,3,
0:0:5:0:0:8:9:5:0,820.0,3.430725545766146,1157.8000000000002,101.21968073428431,55689.77442672962,0.8993399339933993,0.9447214513458697,41,1,
0:0:5:0:0:8:9:5:1,936.0,3.57681440764891,1119.4,112.14953103523933,74429.09012830115,0.8976897689768977,0.9240563897849844,38,2,
0:0:5:0:0:8:9:5:2,1068.0,3.976764325956063,1218.2000000000005,123.71918152937417,85558.12363766803,0.8976897689768977,0.9180666026903229,36,3,
0:0:5:0:0:9:9:5:0,656.0,3.2951567162493904,1287.6,53.26497004713058,0.0,1.0,1.0,41,0,
