prob,winlen,dist,time,costDel,routes
A-n32-k5.vrp,1,3000.548588,2748,6.196741914,10
A-n32-k5.vrp,1,2553.797108,5488,7.805839663,11
A-n32-k5.vrp,1,2902.778246,4054,6.005914768,8
A-n32-k5.vrp,1,2924.555654,3139,5.165787833,7
A-n32-k5.vrp,1,2871.965168,3417,6.88639006,11
A-n32-k5.vrp,1,2835.342878,4150,6.033500285,8
A-n32-k5.vrp,1,2986.872325,2938,5.485522102,8
A-n32-k5.vrp,1,2891.789561,3770,6.664242387,10
A-n32-k5.vrp,1,2860.495589,3850,6.694336546,10
A-n32-k5.vrp,1,2860.194995,3868,6.703031255,10
A-n32-k5.vrp,1,2834.543788,3787,7.056199081,11
A-n32-k5.vrp,1,2666.052265,3952,6.288605159,9
A-n32-k5.vrp,1,2738.201901,3869,6.668706396,10
A-n32-k5.vrp,1,2712.550694,3788,7.021874223,11
A-n32-k5.vrp,14,2289.55956,2014,3.635801143,5
A-n32-k5.vrp,14,2284.087807,2079,3.665947008,5
A-n33-k5.vrp,1,1953.419072,4360,6.512444017,11
A-n33-k5.vrp,1,2724.681226,3108,4.68248364,7
A-n33-k5.vrp,1,2207.342021,3166,6.043630082,11
A-n33-k5.vrp,1,2370.176401,2531,5.433880356,10
A-n33-k5.vrp,1,2182.187143,3211,5.32178452,9
A-n33-k5.vrp,1,2165.675175,3239,5.697721963,10
A-n33-k5.vrp,1,2464.821338,2658,4.7802334,8
A-n33-k5.vrp,1,2215.970616,2776,5.135579736,9
A-n33-k5.vrp,1,2233.204482,2898,4.827096243,8
A-n33-k5.vrp,1,2367.573169,2693,6.976695204,14
A-n33-k5.vrp,1,2215.107056,3055,5.628178308,10
A-n33-k5.vrp,1,2201.719808,3179,6.047984793,11
A-n33-k5.vrp,1,2205.788978,3970,5.300621772,8
A-n33-k5.vrp,1,2190.456133,3126,6.38897616,12
A-n33-k5.vrp,1,2169.306685,4024,5.315266552,8
A-n33-k5.vrp,1,2067.690027,3504,5.423138415,9
A-n33-k5.vrp,1,2112.088048,3144,6.74420247,13
A-n33-k5.vrp,1,2157.672165,3367,5.385308617,9
A-n33-k5.vrp,1,2179.975784,3325,5.372325486,9
A-n33-k5.vrp,1,2215.89643,3010,6.711345028,13
A-n33-k5.vrp,14,1603.388345,1454,2.911202772,5
A-n33-k6.vrp,1,2915.939674,2476,6.699380669,17
A-n33-k6.vrp,1,2561.014064,2757,4.907649992,11
A-n33-k6.vrp,1,2600.074406,2682,4.88837099,11
A-n33-k6.vrp,1,2734.755642,2480,6.055390777,15
A-n33-k6.vrp,1,2655.299773,2492,5.73950106,14
A-n33-k6.vrp,1,2664.156059,2481,5.434207503,13
A-n33-k6.vrp,1,2523.065962,2542,5.12310299,12
A-n33-k6.vrp,1,2498.951612,2510,5.409200256,13
A-n33-k6.vrp,1,2493.994816,2614,5.446575589,13
A-n33-k6.vrp,1,2391.073438,3105,4.090121243,8
A-n33-k6.vrp,1,2348.176787,3264,4.139624185,8
A-n33-k6.vrp,1,1955.318937,2801,4.18664014,9
A-n33-k6.vrp,1,2075.690906,2771,4.80786661,11
A-n33-k6.vrp,1,2027.287997,2783,4.801834927,11
A-n33-k6.vrp,1,1953.044253,3092,4.293726761,9
A-n33-k6.vrp,14,1767.023395,1633,2.80469822,6
A-n34-k5.vrp,1,2838.605183,4290,5.439384362,8
A-n34-k5.vrp,1,3076.485358,3285,6.845540841,13
A-n34-k5.vrp,1,2446.014781,5674,7.010834194,11
A-n34-k5.vrp,1,2750.200236,3859,5.94255093,10
A-n34-k5.vrp,1,2804.44637,3542,6.175043968,11
A-n34-k5.vrp,1,3086.259246,3533,6.242809417,11
A-n34-k5.vrp,1,2673.315716,4177,6.061256389,10
A-n34-k5.vrp,1,2769.071919,3433,6.831698727,13
A-n34-k5.vrp,1,2676.787442,3805,6.256922023,11
A-n34-k5.vrp,1,2707.494472,3545,6.50821055,12
A-n34-k5.vrp,1,2812.510962,3479,6.506225614,12
A-n34-k5.vrp,1,2938.331564,3405,7.219097376,14
A-n34-k5.vrp,1,3035.519367,3390,7.950338622,16
A-n34-k5.vrp,1,2683.205142,3789,6.964641308,13
A-n34-k5.vrp,1,2706.295901,3745,6.594862218,12
A-n34-k5.vrp,1,2728.926566,3732,6.238444366,11
A-n34-k5.vrp,1,2833.219325,3562,5.83453622,10
A-n34-k5.vrp,1,2764.849651,3656,5.501494368,9
A-n34-k5.vrp,1,2755.772438,3695,6.229185598,11
A-n34-k5.vrp,1,3205.980713,3465,6.243695094,11
A-n34-k5.vrp,1,3209.105406,3582,5.58231594,9
A-n34-k5.vrp,1,3111.4202,3960,5.365296007,8
A-n34-k5.vrp,1,3148.154028,3516,5.894639177,10
A-n34-k5.vrp,1,2742.707308,4392,5.815862511,9
A-n34-k5.vrp,1,2759.266379,3845,5.582248188,9
A-n34-k5.vrp,1,2909.734345,4005,5.333562866,8
A-n34-k5.vrp,1,2725.945622,4632,5.915947039,9
A-n34-k5.vrp,14,1957.995115,1827,3.074968323,5
A-n34-k5.vrp,14,2002.700198,1805,3.076773746,5
A-n36-k5.vrp,1,2834.400372,5681,7.773359375,12
A-n36-k5.vrp,1,3043.786329,4619,7.348242083,12
A-n36-k5.vrp,1,3195.19829,3640,6.57429457,11
A-n36-k5.vrp,1,3199.885539,3685,6.224856579,10
A-n36-k5.vrp,1,3306.912135,3398,6.49436362,11
A-n36-k5.vrp,1,3223.655446,3325,6.810334134,12
A-n36-k5.vrp,1,3129.466487,3815,6.265039771,10
A-n36-k5.vrp,1,3213.116746,3685,5.857318234,9
A-n36-k5.vrp,14,3443.855509,1969,3.657762657,5
A-n36-k5.vrp,14,3439.994296,1987,3.664885368,5
A-n36-k5.vrp,14,2264.864956,2006,3.362419004,5
A-n36-k5.vrp,14,3447.539847,1914,3.633851045,5
A-n37-k5.vrp,1,2183.066903,5528,8.985304245,14
A-n37-k5.vrp,1,2994.402083,3037,7.188562761,12
A-n37-k5.vrp,1,2930.095042,2944,8.333221425,15
A-n37-k5.vrp,1,2905.618869,2955,7.928642279,14
A-n37-k5.vrp,1,3013.858124,2981,7.569585751,13
A-n37-k5.vrp,1,2917.782912,3018,7.560148896,13
A-n37-k5.vrp,1,2351.387325,3081,6.622388985,11
A-n37-k5.vrp,1,2351.141024,3332,5.939762899,9
A-n37-k5.vrp,1,2317.95717,3343,5.935628965,9
A-n37-k5.vrp,1,2576.743047,3124,6.305353652,10
A-n37-k5.vrp,1,2571.790007,3047,7.474937177,13
A-n37-k5.vrp,1,2541.16805,2978,7.835176073,14
A-n37-k5.vrp,1,2365.267565,3213,6.28829559,10
A-n37-k5.vrp,1,2507.179795,3229,5.934005003,9
A-n37-k5.vrp,1,2218.75641,3420,5.542001228,8
A-n37-k5.vrp,1,3578.324965,2925,10.12202462,19
A-n37-k5.vrp,14,1936.900781,1711,3.412327743,5
A-n37-k5.vrp,14,3131.871762,1641,3.721447165,5
A-n37-k6.vrp,1,3213.563819,3581,6.231906959,15
A-n37-k6.vrp,1,3183.820482,3550,6.790363152,17
A-n37-k6.vrp,1,2975.995442,3750,5.091563977,11
A-n37-k6.vrp,1,3131.276399,3667,5.382033928,12
A-n37-k6.vrp,1,3348.647289,3660,5.999634619,14
A-n37-k6.vrp,1,2990.635402,3770,4.813867267,10
A-n37-k6.vrp,1,2844.926758,4149,4.629221808,9
A-n37-k6.vrp,1,2828.045136,4276,4.670318037,9
A-n37-k6.vrp,1,2972.23413,3755,5.380265602,12
A-n37-k6.vrp,1,2962.959014,3797,5.680817903,13
A-n37-k6.vrp,1,2950.344309,4077,4.913316288,10
A-n37-k6.vrp,1,2843.508457,4149,4.916649981,10
A-n37-k6.vrp,1,2919.287119,4139,4.928695777,10
A-n37-k6.vrp,14,2408.2897,2166,3.268368237,7
A-n37-k6.vrp,14,2768.947363,2398,3.136082178,6
A-n37-k6.vrp,14,2669.7163,2426,3.125538258,6
A-n37-k6.vrp,14,2734.462329,2411,3.133565074,6
A-n38-k5.vrp,1,3345.279949,3206,7.943030674,17
A-n38-k5.vrp,1,2562.579516,6668,8.85118878,16
A-n38-k5.vrp,1,2665.758872,4197,6.48501827,12
A-n38-k5.vrp,1,2599.758526,4198,6.469379932,12
A-n38-k5.vrp,1,3079.502843,3505,5.956968467,11
A-n38-k5.vrp,1,3036.20569,3508,5.606727787,10
A-n38-k5.vrp,1,3063.93409,3473,6.280832201,12
A-n38-k5.vrp,1,2929.983021,3726,6.012490672,11
A-n38-k5.vrp,1,2824.089728,3550,6.254508312,12
A-n38-k5.vrp,1,2869.868979,3448,6.564188504,13
A-n38-k5.vrp,1,2947.656282,3972,5.778120135,10
A-n38-k5.vrp,1,3006.858431,3900,5.762583028,10
A-n38-k5.vrp,1,2797.111236,4143,5.812602941,10
A-n38-k5.vrp,1,3031.590829,3440,6.600199848,13
A-n38-k5.vrp,1,2774.306085,3794,6.68481042,13
A-n38-k5.vrp,1,2971.838698,3653,5.992318353,11
A-n38-k5.vrp,1,2787.014961,3765,7.016799897,14
A-n38-k5.vrp,1,2735.263844,3891,6.033733617,11
A-n38-k5.vrp,1,2821.172209,3847,6.377291369,12
A-n38-k5.vrp,1,2969.976181,3922,5.762759279,10
A-n38-k5.vrp,14,2015.026522,1776,2.93338483,5
A-n39-k5.vrp,1,2843.051316,5967,8.046393693,14
A-n39-k5.vrp,1,3200.0446,4028,5.936853091,10
A-n39-k5.vrp,1,2972.865803,3681,6.080053261,11
A-n39-k5.vrp,1,3051.276938,3387,6.320840846,12
A-n39-k5.vrp,1,3012.258766,3472,6.692282686,13
A-n39-k5.vrp,1,3026.515605,3436,6.680636475,13
A-n39-k5.vrp,1,3011.769887,3517,6.365846478,12
A-n39-k5.vrp,1,3035.729504,3373,6.656379688,13
A-n39-k5.vrp,1,3044.262714,3389,6.319955237,12
A-n39-k5.vrp,1,3063.110491,3367,6.315334584,12
A-n39-k5.vrp,1,3005.244542,3474,6.691397077,13
A-n39-k5.vrp,1,3050.788059,3432,5.994404638,11
A-n39-k5.vrp,1,3070.216945,3174,6.235821858,12
A-n39-k5.vrp,14,2419.851055,2191,3.244889628,5
A-n39-k5.vrp,14,3444.952639,1978,3.752967282,6
A-n39-k6.vrp,1,2833.553202,6031,7.912026092,16
A-n39-k6.vrp,1,3248.073854,3500,5.48293658,11
A-n39-k6.vrp,1,3005.059278,3602,4.844091132,9
A-n39-k6.vrp,1,2993.282014,3527,5.124741437,10
A-n39-k6.vrp,1,2928.922955,4080,5.63247906,11
A-n39-k6.vrp,1,2840.033024,4753,6.492174646,13
A-n39-k6.vrp,1,2921.212006,4186,5.67106807,11
A-n39-k6.vrp,1,4122.487323,3448,8.775534253,21
A-n39-k6.vrp,1,3699.153548,3488,7.13764442,16
A-n39-k6.vrp,1,2969.125001,4006,6.548645675,14
A-n39-k6.vrp,14,3386.905546,1938,3.360965682,6
A-n39-k6.vrp,14,2497.615504,2189,3.258595084,6
A-n39-k6.vrp,14,2407.338615,2162,3.540035395,7
A-n44-k7.vrp,1,3408.470447,7173,7.244545688,14
A-n44-k7.vrp,1,3596.273413,4336,6.287656122,14
A-n44-k7.vrp,1,3495.679162,4360,5.699990284,12
A-n44-k7.vrp,1,3443.952088,4707,6.098846306,13
A-n44-k7.vrp,1,3457.542372,4365,5.406197294,11
A-n44-k7.vrp,14,2757.093137,2435,3.146631398,6
A-n44-k7.vrp,14,3770.787049,2305,3.596810675,7
A-n44-k7.vrp,14,4049.319312,2423,3.407667297,6
A-n45-k6.vrp,1,4186.827506,4230,8.890149778,24
A-n45-k6.vrp,1,3518.002789,5192,6.040482844,13
A-n45-k6.vrp,1,3747.239945,4936,7.105610579,17
A-n45-k6.vrp,1,3810.127506,4833,7.35983966,18
A-n45-k6.vrp,1,3499.087505,5384,6.101506304,13
A-n45-k6.vrp,1,3726.223041,5035,6.58173372,15
A-n45-k6.vrp,1,3544.468896,5138,6.304052042,14
A-n45-k6.vrp,1,3688.370014,5060,6.582696951,15
A-n45-k6.vrp,1,3477.142695,5514,6.417581274,14
A-n45-k6.vrp,1,3483.675101,5282,6.340623924,14
A-n45-k6.vrp,1,3621.60386,5063,6.293975804,14
A-n45-k6.vrp,1,3601.883288,4968,7.087724021,17
A-n45-k6.vrp,1,3783.243972,4892,7.650994173,19
A-n45-k6.vrp,1,4045.559036,4619,6.227875898,14
A-n45-k6.vrp,1,4206.251893,4613,6.810677018,16
A-n45-k6.vrp,1,4124.367178,4549,7.049495716,17
A-n45-k6.vrp,1,4018.817537,4684,5.967962313,13
A-n45-k6.vrp,1,3815.573022,4723,5.664455386,12
A-n45-k6.vrp,14,2903.012488,2622,3.393005837,7
A-n45-k6.vrp,14,3968.321621,2428,3.537763288,7
A-n45-k7.vrp,1,3623.768826,6761,7.199023585,17
A-n45-k7.vrp,1,4214.887474,4965,6.224198477,15
A-n45-k7.vrp,1,4004.738456,5267,6.022010094,14
