prob,size,demand,avg bags,winlen,dist,time,costDel,getRoutes,getCost,dels/route,loadFactor
A-n32-k5.vrp,32,410,12,1,4 V. High,0 V. Low,2 Medium,3 High,2 Medium,3,41,
A-n32-k5.vrp,32,410,12,1,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,2,37.27272727,
A-n32-k5.vrp,32,410,12,1,3 High,2 Medium,1 Low,1 Low,1 Low,4,51.25,
A-n32-k5.vrp,32,410,12,1,3 High,1 Low,0 V. Low,0 V. Low,0 V. Low,4,58.57142857,
A-n32-k5.vrp,32,410,12,1,3 High,1 Low,3 High,4 V. High,3 High,2,37.27272727,
A-n32-k5.vrp,32,410,12,1,3 High,2 Medium,1 Low,1 Low,1 Low,4,51.25,
A-n32-k5.vrp,32,410,12,1,4 V. High,0 V. Low,0 V. Low,1 Low,0 V. Low,4,51.25,
A-n32-k5.vrp,32,410,12,1,3 High,1 Low,2 Medium,3 High,2 Medium,3,41,
A-n32-k5.vrp,32,410,12,1,3 High,2 Medium,2 Medium,3 High,2 Medium,3,41,
A-n32-k5.vrp,32,410,12,1,3 High,2 Medium,2 Medium,3 High,2 Medium,3,41,
A-n32-k5.vrp,32,410,12,1,3 High,2 Medium,3 High,4 V. High,3 High,2,37.27272727,
A-n32-k5.vrp,32,410,12,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,3,45.55555556,
A-n32-k5.vrp,32,410,12,1,2 Medium,2 Medium,2 Medium,3 High,2 Medium,3,41,
A-n32-k5.vrp,32,410,12,1,1 Low,2 Medium,3 High,4 V. High,3 High,2,37.27272727,
A-n32-k5.vrp,32,410,12,14,4 V. High,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,82,
A-n32-k5.vrp,32,410,12,14,0 V. Low,4 V. High,4 V. High,0 V. Low,4 V. High,6,82,
A-n33-k5.vrp,33,446,13,1,0 V. Low,4 V. High,3 High,2 Medium,3 High,3,40.54545455,
A-n33-k5.vrp,33,446,13,1,4 V. High,1 Low,0 V. Low,0 V. Low,0 V. Low,4,63.71428571,
A-n33-k5.vrp,33,446,13,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,3,40.54545455,
A-n33-k5.vrp,33,446,13,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,3,44.6,
A-n33-k5.vrp,33,446,13,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,49.55555556,
A-n33-k5.vrp,33,446,13,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,3,44.6,
A-n33-k5.vrp,33,446,13,1,3 High,0 V. Low,0 V. Low,1 Low,0 V. Low,4,55.75,
A-n33-k5.vrp,33,446,13,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,49.55555556,
A-n33-k5.vrp,33,446,13,1,1 Low,1 Low,0 V. Low,1 Low,0 V. Low,4,55.75,
A-n33-k5.vrp,33,446,13,1,2 Medium,0 V. Low,4 V. High,4 V. High,4 V. High,2,31.85714286,
A-n33-k5.vrp,33,446,13,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,3,44.6,
A-n33-k5.vrp,33,446,13,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,3,40.54545455,
A-n33-k5.vrp,33,446,13,1,1 Low,3 High,1 Low,1 Low,1 Low,4,55.75,
A-n33-k5.vrp,33,446,13,1,1 Low,1 Low,3 High,3 High,3 High,2,37.16666667,
A-n33-k5.vrp,33,446,13,1,1 Low,3 High,1 Low,1 Low,1 Low,4,55.75,
A-n33-k5.vrp,33,446,13,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,49.55555556,
A-n33-k5.vrp,33,446,13,1,1 Low,1 Low,4 V. High,3 High,4 V. High,2,34.30769231,
A-n33-k5.vrp,33,446,13,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,49.55555556,
A-n33-k5.vrp,33,446,13,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,49.55555556,
