Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:2:6:1:0:9:9:3:0,304.0,2.296107289408733,582.6,54.803988657580646,0.0,1.0,1.0,19,0,
0:2:7:1:0:9:9:3:0,304.0,2.6058956716362283,714.2,50.21722537085359,0.0,1.0,1.0,19,0,
0:2:8:1:0:9:9:3:0,304.0,2.7202942678098623,761.4000000000002,49.92064980204333,0.0,1.0,1.0,19,0,
0:2:9:1:0:9:9:3:0,288.0,2.890662115900437,840.4000000000001,56.771467519179275,0.0,1.0,1.0,18,0,
0:3:8:1:0:9:9:3:0,304.0,2.903105297920993,830.4000000000001,55.87317214760693,0.0,1.0,1.0,19,0,
0:3:9:1:0:9:9:3:0,304.0,2.972775170396328,860.0,54.83781986249449,0.0,1.0,1.0,19,0,
0:4:9:1:0:9:9:3:0,272.0,3.8898862717744036,1256.4000000000003,66.45337142750513,0.0,1.0,1.0,17,0,
1:2:5:1:0:8:9:3:0,468.0,2.6885804202374404,551.2,83.11797229735042,41055.23422513414,0.8951219512195122,0.9532026182264545,19,1,
1:2:6:1:0:8:9:3:0,468.0,2.7082748404833517,559.0,83.39268459817404,41055.23422513414,0.8951219512195122,0.9534335900813206,19,1,
1:2:6:1:0:9:9:4:0,336.0,2.3698900317521843,580.6,55.054913018395574,0.0,1.0,1.0,21,0,
1:2:6:2:0:9:9:2:0,388.0,2.7239591478096514,639.6,89.22325060195728,42273.43458816173,0.9634146341463414,0.956009645610236,14,1,
1:2:6:2:1:9:9:3:0,420.0,2.81197051099572,621.0000000000001,111.90790950824527,80643.04927652159,0.9219512195121952,0.9113560019028076,16,1,
1:2:7:1:0:9:9:4:0,352.0,2.6775859873255015,699.0000000000001,46.81025480345538,0.0,1.0,1.0,22,0,
1:2:7:2:1:9:9:3:0,420.0,2.8680943096760725,656.0000000000001,99.91866696718954,61501.39456806744,0.9682926829268292,0.9334866058727352,16,1,
1:2:8:1:0:9:9:4:0,368.0,2.835152641071288,746.4000000000001,48.01258283922794,0.0,1.0,1.0,23,0,
1:3:5:2:1:8:8:3:1,600.0,3.0391205094586007,527.6,118.43940887802624,92430.44778035117,0.8414634146341463,0.8958030543412326,17,2,
1:3:5:2:1:8:9:3:1,632.0,3.149349912727732,558.6,100.63346421836997,64956.53955301907,0.8878048780487805,0.9277457123673448,19,2,
1:3:6:1:0:8:9:4:0,516.0,2.9776906009357984,616.9999999999999,87.85314638367741,41055.23422513414,0.8951219512195122,0.9568884678028436,22,1,
1:3:6:1:0:9:9:4:0,532.0,2.9195411474150545,599.4,65.61187044017232,11993.505762703415,0.9414634146341463,0.9868342344318783,23,1,
1:3:6:1:0:9:9:3:1,632.0,3.1554755822840876,580.0000000000001,81.74498873647583,36247.33389765976,0.9024390243902439,0.9600357577362687,19,2,
1:3:6:2:0:8:9:4:0,500.0,2.9095742304720718,604.4,88.52543449354928,41055.23422513414,0.8951219512195122,0.9573652274416112,21,1,
1:3:6:2:0:9:9:4:0,500.0,2.986386010841298,635.4,89.01826444493224,41882.871420474126,0.9146341463414634,0.9564583024407673,21,1,
1:3:6:2:0:9:9:3:1,600.0,3.2419112684192797,636.8000000000001,92.38362005190454,36247.33389765976,0.9024390243902439,0.9662975410968003,17,2,
1:3:6:2:1:8:8:3:1,632.0,3.357191776013554,616.8,127.64862816555727,102801.34242345106,0.8560975609756097,0.8884993677943904,19,2,
1:3:6:2:1:8:9:3:1,632.0,3.3191837833615017,609.0000000000001,119.86535117821549,87900.79496759955,0.8926829268292683,0.90825783743092,19,2,
1:3:6:2:1:9:8:3:1,632.0,3.2826068796425494,586.8000000000001,127.06882065344504,97597.83179946188,0.9097560975609756,0.8992250690905099,19,2,
1:3:6:2:1:9:9:4:0,500.0,3.058443025420047,640.6,113.36164042221917,77557.01187443658,0.9682926829268292,0.9196956441919008,21,1,
1:3:6:3:2:7:8:3:1,584.0,3.350286432326887,630.8,158.81743725402356,142677.2412367668,0.7560975609756098,0.8557390220568988,16,2,
