Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:2:7:1:0:9:9:5:0,720.0,3.0799487919416313,1740.6000000000001,117.31713885514513,0.0,1.0,1.0,45,0,
0:2:8:1:0:9:9:5:0,720.0,3.170616888338795,1817.2000000000003,116.60633553957071,0.0,1.0,1.0,45,0,
0:2:9:1:0:9:9:3:0,544.0,3.17478517355038,1974.8,138.495190261668,0.0,1.0,1.0,34,0,
0:3:8:1:0:9:9:5:0,720.0,3.2536361664852933,1887.0000000000002,116.29347134819032,0.0,1.0,1.0,45,0,
0:3:9:1:0:9:9:4:0,704.0,3.5411566271784776,2145.3999999999996,114.54809694838578,0.0,1.0,1.0,44,0,
0:4:9:1:0:9:9:5:0,720.0,4.3298082595201866,2772.3999999999996,131.6495132183963,0.0,1.0,1.0,45,0,
1:2:6:1:0:9:9:6:0,880.0,2.976312668306128,1499.6000000000006,111.57370337222811,0.0,1.0,1.0,55,0,
1:2:7:1:0:9:9:6:0,880.0,3.1658795049403095,1662.2000000000003,107.64114563503885,0.0,1.0,1.0,55,0,
1:2:8:1:0:9:9:5:0,752.0,3.1498362707856042,1770.8,113.61295864755051,0.0,1.0,1.0,47,0,
1:3:6:1:0:9:9:5:0,1392.0,3.670577389420665,1504.6000000000001,175.67327494509647,91047.76317021421,0.929510155316607,0.9496543551316,46,4,
1:3:6:2:0:8:9:5:0,1392.0,3.70558326080612,1515.3999999999999,194.17318929472285,105996.70414645529,0.8936678614097969,0.9454058214363531,46,4,
1:3:6:2:1:8:8:5:0,1424.0,3.767461201011229,1483.8,245.56502524639833,202197.38599720536,0.8172043010752689,0.8828681853009542,48,4,
1:3:6:2:1:8:9:4:0,1344.0,3.582500676411354,1442.2000000000003,212.35306615630347,153404.29134369688,0.8148148148148148,0.9109278039264874,43,4,
1:3:6:2:1:9:9:5:0,1408.0,3.7170192518571943,1497.2,205.94511380447165,146529.13745527103,0.910394265232975,0.9135168661715031,47,4,
1:3:7:1:0:8:9:5:0,1160.0,3.634897055973923,1703.6,178.80883585017358,102305.62018121798,0.8793309438470729,0.9411245509497517,52,2,
1:3:7:1:0:9:9:6:0,1208.0,3.657652233253526,1703.6000000000001,149.85491923320092,64160.31686820784,0.9629629629629629,0.9619720074093004,55,2,
1:3:7:2:0:8:9:5:0,1440.0,4.016156885420724,1734.5999999999992,186.92331309714672,113953.6366681912,0.8936678614097969,0.9345681186891828,49,4,
1:3:7:2:0:9:9:5:0,1324.0,3.832904948787942,1694.6000000000004,189.54144213550748,116493.12244823028,0.951015531660693,0.9336546648118016,52,3,
1:3:7:2:1:7:8:4:0,1344.0,3.881027362717817,1667.2,237.2199025948127,188961.06234767608,0.7777777777777778,0.8911313869346792,43,4,
1:3:7:2:1:7:9:5:0,1376.0,3.731806452598828,1538.2000000000003,209.32200082521874,148131.38039318708,0.7897252090800478,0.9144073173948765,45,4,
1:3:7:2:1:8:8:5:0,1440.0,4.037717852440523,1715.8000000000002,223.7698424927177,171531.27710192112,0.8984468339307049,0.8996382292612525,49,4,
1:3:7:2:1:8:9:5:0,1308.0,3.8362739046601915,1706.4,196.5612582005802,133716.96294679077,0.8578255675029869,0.9205370604202878,51,3,
1:3:7:2:1:8:9:4:1,1460.0,3.8484897284401285,1531.6,229.58590270438785,174046.60303152562,0.8148148148148148,0.9019092156528473,40,5,
1:3:7:2:1:9:8:5:0,1376.0,4.016005264712327,1726.2,259.1964065642181,206883.3009646336,0.9080047789725209,0.8906547884033262,45,4,
1:3:7:2:1:9:9:5:0,1456.0,3.9631803730168724,1643.0000000000002,218.1819722151223,164669.32456149234,0.9247311827956989,0.9027949400734439,50,4,
1:3:7:2:1:9:9:4:1,1444.0,4.054640889005148,1743.0,206.73442409730913,134609.73066799404,0.9247311827956989,0.9266171710184474,39,5,
1:3:8:1:0:8:9:5:0,980.0,3.518427781083532,1815.3999999999996,149.5240527669168,65235.87141336566,0.899641577060932,0.9609468272627207,51,1,
1:3:8:1:0:9:9:5:0,1276.0,3.8672937232186544,1814.0000000000007,146.9248463340129,61203.04423705202,0.945041816009558,0.9634044353124445,49,3,
1:3:8:2:0:8:9:5:0,1228.0,3.948064648321862,1889.4,187.13011064539845,114056.40704496976,0.8267622461170848,0.9345908350504082,46,3,
1:3:8:2:0:9:9:5:0,1340.0,4.044499755202732,1858.7999999999997,186.44629510468755,119795.8195756054,0.9366786140979689,0.9283300949028164,53,3,
1:3:8:2:1:7:9:4:0,1360.0,4.113039856287496,1860.8,221.81435971263357,156344.9650948703,0.7992831541218638,0.9150598392786716,44,4,
1:3:8:2:1:8:8:5:0,1408.0,4.190891497959945,1850.4000000000005,249.376183792473,211848.7256018615,0.8016726403823178,0.874149575007347,47,4,
1:3:8:2:1:8:8:4:1,1444.0,4.190318035963858,1787.4000000000003,275.89619610174844,230953.26671299723,0.8422939068100358,0.8783813699669335,39,5,
