Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:3:9:2:0:9:9:2:0,448.0,2.4331545113879276,1383.9999999999998,58.56105534842002,0.0,1.0,1.0,28,0,
0:4:9:2:0:9:9:2:0,448.0,2.786258667531679,1655.9999999999998,60.92298467211489,0.0,1.0,1.0,28,0,
1:2:3:1:0:9:9:5:0,800.0,1.7529658359304312,526.2000000000002,35.85445451794473,0.0,1.0,1.0,50,0,
1:2:4:1:0:9:9:4:0,768.0,1.788074462160039,584.8000000000001,36.5338570983503,0.0,1.0,1.0,48,0,
1:2:4:2:0:9:9:4:0,852.0,1.9749872968206732,629.6000000000001,52.96512962966293,16663.577096550922,0.9407979407979408,0.974777660224594,43,1,
1:2:4:2:1:9:9:4:0,836.0,1.9695606927202933,623.2,71.14865824366774,37761.96038219806,0.954954954954955,0.9477662490623632,42,1,
1:2:5:1:0:9:9:4:0,752.0,1.9023137448909555,689.0000000000001,37.09777978027252,0.0,1.0,1.0,47,0,
1:2:5:2:0:9:9:3:0,788.0,1.9755647525876256,689.6000000000003,57.413812760584904,16468.26836798575,0.9858429858429858,0.9775399316953789,39,1,
1:2:6:1:0:9:9:4:0,688.0,1.9756633550159517,807.4000000000001,39.69042684739435,0.0,1.0,1.0,43,0,
1:2:6:2:0:9:9:3:0,624.0,1.9828733607005795,864.0000000000002,52.69260126435,0.0,1.0,1.0,39,0,
1:2:7:1:0:9:9:3:0,544.0,1.9901138373902898,949.8000000000002,52.51845165225501,0.0,1.0,1.0,34,0,
1:2:7:2:0:9:9:3:0,512.0,1.9843990990251437,973.2000000000002,56.67809994253662,0.0,1.0,1.0,32,0,
1:3:4:1:0:9:9:4:0,884.0,2.063276349916565,669.0,50.16572388517136,17294.08284419558,0.9433719433719434,0.9716294353372583,45,1,
1:3:4:2:0:9:9:4:0,884.0,2.0255991773052937,635.3999999999999,54.4905607662133,18726.739094674227,0.9781209781209781,0.9717440731845697,45,1,
1:3:4:2:1:9:9:4:0,820.0,1.9961244020571798,658.4000000000001,72.58866039842844,45443.583398696734,0.9601029601029601,0.931515284613181,41,1,
1:3:4:3:1:9:8:4:0,868.0,2.0702704772850398,658.0,82.60016085047583,64797.07707816379,0.9009009009009009,0.8946488043223833,44,1,
1:3:5:1:0:9:9:4:0,768.0,2.0125435622866252,758.2,37.54634789670761,0.0,1.0,1.0,48,0,
1:3:5:2:0:9:9:4:0,852.0,2.2025788024823023,804.0000000000002,55.40372952874865,22521.50167803395,0.9588159588159588,0.9646230431221593,43,1,
1:3:5:2:1:9:9:4:0,804.0,2.1325149412228646,781.2000000000002,71.76410933016552,37156.62094271463,0.9407979407979408,0.9497318083953054,40,1,
1:3:5:3:1:9:8:4:0,836.0,2.1399855393186957,744.6000000000001,82.16876405062663,64797.07707816379,0.9009009009009009,0.8934651969629374,42,1,
1:3:5:3:1:9:9:4:0,836.0,2.156074309790226,759.2,80.06973870700584,59610.05774096838,0.9266409266409267,0.9054524532251814,42,1,
1:3:6:1:0:9:9:4:0,736.0,2.095485364261584,855.4000000000001,36.7921280312508,0.0,1.0,1.0,46,0,
1:3:6:2:0:8:9:3:0,888.0,2.3503192793373513,872.0000000000001,66.1980800451217,30734.479172768737,0.8841698841698842,0.9572965370384401,35,2,
1:3:6:2:0:9:9:4:0,852.0,2.254430721243146,843.4000000000003,56.29267040592412,23628.708801066703,0.9588159588159588,0.9630136083174157,43,1,
1:3:6:2:1:8:9:3:0,740.0,2.234346731625389,924.4000000000003,71.68741047292703,39854.864412344956,0.8841698841698842,0.9437936787582603,36,1,
1:3:6:2:1:9:9:4:0,852.0,2.2240943954614756,811.6,64.52134527356637,33988.3874186891,0.9678249678249679,0.9483727779192035,43,1,
1:3:6:3:1:8:9:3:0,872.0,2.400698116926514,906.4,86.94243685190149,61782.007510036274,0.8931788931788932,0.9137244163589042,34,2,
1:3:6:3:1:9:9:3:0,756.0,2.2248855923224466,892.0000000000002,80.73610523454094,55856.577063109595,0.9305019305019305,0.9180020179092658,37,1,
1:3:6:3:2:8:8:3:0,888.0,2.3652173791545015,846.8,102.97390360304752,86531.2648225358,0.8867438867438867,0.8772992722612813,35,2,
1:3:6:3:2:9:9:3:0,888.0,2.4435591791207103,919.0,91.64548217679213,67785.08145077893,0.9086229086229086,0.9066789168007624,35,2,
1:3:6:4:2:8:8:3:0,888.0,2.3891565077271535,862.2000000000002,106.17460650399825,86531.2648225358,0.8867438867438867,0.8855287283956923,35,2,
1:3:7:1:0:9:9:4:0,868.0,2.3940651037218994,948.1999999999998,43.98858559191594,6720.342848396948,0.972972972972973,0.9892452407337949,44,1,
1:3:7:2:0:8:9:3:0,772.0,2.384853782359001,1018.6,62.43138889294356,23487.051108182164,0.8893178893178894,0.9681575443576785,38,1,
1:3:7:2:0:9:9:4:0,836.0,2.498851530598238,1047.4,58.20763927483059,31346.013918626308,0.915057915057915,0.9465638285301742,42,1,
1:3:7:2:1:8:9:3:0,872.0,2.5157232780499603,1005.9999999999999,76.71698704481922,49930.6986444376,0.8867438867438867,0.9266737137589605,34,2,
1:3:7:2:1:9:9:4:0,820.0,2.3870830044665543,966.8000000000004,67.96349447051247,37156.62094271463,0.9407979407979408,0.9452746883354839,41,1,
1:3:7:3:0:9:9:3:0,856.0,2.4762663801144744,988.4000000000001,79.65897734894652,32005.80953080981,0.9266409266409267,0.9651859514202245,33,2,
1:3:7:3:1:8:9:3:0,856.0,2.463789582154261,973.2000000000002,85.16450533386075,56968.440832330656,0.8970398970398971,0.9229576771305674,33,2,
1:3:7:3:1:9:9:3:0,788.0,2.3334311452954095,945.0000000000001,80.07599989453296,51316.813082793175,0.9227799227799228,0.9286586699529708,39,1,
1:3:7:3:2:8:8:3:0,872.0,2.487315111746385,957.4,103.24384182694116,86975.14231764151,0.8712998712998713,0.876586965787345,34,2,
1:3:7:3:2:8:9:3:0,824.0,2.563613192849523,1065.4,102.5274508440795,75525.32633060726,0.8906048906048906,0.9074346780411793,31,2,
1:3:7:3:2:9:9:3:0,888.0,2.6124869243639917,1047.8000000000002,94.10234023082121,69238.33056255801,0.9214929214929215,0.9076490943811215,35,2,
1:3:7:4:2:8:8:3:0,708.0,2.403490935526919,1042.4,117.11245690441613,94916.66590684031,0.8442728442728443,0.8869303382166785,34,1,
1:3:8:1:0:9:9:4:0,704.0,2.353292967919798,1083.4,41.10863607368252,0.0,1.0,1.0,44,0,
1:3:8:2:0:8:9:3:0,756.0,2.5232473502309984,1141.4000000000003,63.163191129485575,23487.051108182164,0.8893178893178894,0.9686502204192617,37,1,
1:3:8:2:0:9:9:4:0,804.0,2.582550744378832,1148.3999999999999,54.241928382352356,17294.08284419558,0.9433719433719434,0.9743466597458569,40,1,
1:3:8:2:1:8:9:3:0,888.0,2.6309072396183644,1080.8000000000002,75.41492518346905,45204.04346547912,0.8468468468468469,0.9364119659491585,35,2,
1:3:8:2:1:9:9:3:0,756.0,2.489914108824154,1112.6000000000001,66.06326255636755,36034.29425268174,0.963963963963964,0.9454748823254064,37,1,
