Key,FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
0:0:3:0:0:8:9:5:1,968.0,3.1477060493665454,839.5999999999998,109.3529840642263,77501.59468992853,0.8735632183908046,0.9141621989700761,40,2,
0:0:3:0:0:9:9:5:0,640.0,2.4695341228227394,811.0,52.946280799048296,0.0,1.0,1.0,40,0,
0:0:3:0:0:9:9:5:1,984.0,3.1012133458226323,816.2,88.43892760598315,48469.57803582992,0.9737274220032841,0.9450612855031169,41,2,
0:0:4:0:0:8:9:6:0,868.0,3.2083901003365844,1012.8000000000002,73.10957110497971,22676.457194107785,0.8587848932676518,0.9752282899996667,44,1,
0:0:4:0:0:8:9:5:1,968.0,3.170068677395398,882.8,79.77182453379764,37004.4954601872,0.8932676518883416,0.9573502860011187,40,2,
0:0:4:0:0:8:9:5:2,1068.0,3.508850966858627,971.2,97.69023881690391,66840.48522873098,0.825944170771757,0.9196841341286663,36,3,
0:0:4:0:0:9:9:5:0,640.0,2.728656970506895,972.2,49.55209503869882,0.0,1.0,1.0,40,0,
0:0:4:0:0:9:9:5:1,904.0,3.2770205852668797,996.4,95.30553642752989,63966.329554624295,0.9326765188834154,0.9224838441349575,36,2,
0:0:4:0:0:9:9:5:2,1052.0,3.5550299484565375,1004.1999999999999,108.8132386100314,81178.8056251959,0.9146141215106732,0.9050527491518946,35,3,
0:0:4:1:0:8:8:5:2,1052.0,3.556074181318964,993.8000000000001,119.8491764232489,92960.58559861063,0.8669950738916257,0.8971370774043889,35,3,
0:0:4:1:0:8:9:5:1,968.0,3.3769194746663196,969.4,119.1439600717885,90171.15498583883,0.8817733990147784,0.9022438441105437,40,2,
0:0:4:1:0:8:9:5:2,1068.0,3.5651857113999252,979.8000000000002,123.39809824255413,93477.82758774927,0.8768472906403941,0.9020572689817621,36,3,
0:0:4:1:0:9:9:5:0,820.0,2.936826411667809,851.4,117.12728470569594,83726.70313126495,0.9310344827586207,0.9127320022055154,41,1,
0:0:4:1:0:9:9:5:1,936.0,3.392080503684853,1011.4000000000001,118.3770267440752,88024.13154013595,0.9129720853858785,0.9056783814822996,38,2,
0:0:4:1:0:9:9:4:2,1020.0,3.545080777565506,1022.2,116.75419353739304,81577.078868863,0.9589490968801314,0.916460724029555,33,3,
0:0:4:1:1:7:8:5:2,1068.0,3.54071158700556,965.9999999999999,122.29335648638619,96236.95020007469,0.7996715927750411,0.8939410818285022,36,3,
0:0:4:1:1:7:9:4:2,1036.0,3.39883838625095,905.0,128.8925772268283,96236.95020007469,0.7996715927750411,0.9048969685818622,34,3,
0:0:4:1:1:8:8:5:1,936.0,3.3391804522136765,960.6,136.9608953981289,113541.8947602198,0.8850574712643678,0.8810534486127929,38,2,
0:0:4:1:1:8:8:5:2,1068.0,3.5146494943831152,952.6,119.8215420793169,99046.1790951191,0.8637110016420362,0.8818317255970661,36,3,
0:0:4:1:1:8:9:5:2,1068.0,3.5011509258813516,928.8000000000002,135.4009138617429,100133.9002099277,0.8998357963875205,0.9067061913093514,36,3,
0:0:4:1:1:9:8:6:1,1000.0,3.3860338815426556,935.9999999999999,126.0946338594771,98020.98939491707,0.9244663382594417,0.896658408171848,42,2,
0:0:4:1:1:9:8:4:2,1036.0,3.5903640398740437,1008.1999999999998,142.33170028329286,109682.84942302576,0.9178981937602627,0.8985289625385637,34,3,
0:0:4:1:1:9:9:5:2,1052.0,3.5938114123524585,1010.8000000000002,125.83115012264687,95684.64273113583,0.9326765188834154,0.901288847746915,35,3,
0:0:4:2:1:8:8:4:2,1020.0,3.478506785692503,918.8,179.61063248673435,174930.33740807854,0.8456486042692939,0.8202667975041845,33,3,
0:0:5:0:0:7:9:5:1,936.0,3.5109740019513387,1113.4000000000003,88.7831671883649,49533.63266708641,0.7914614121510674,0.9434751151393463,38,2,
0:0:5:0:0:7:9:4:2,972.0,3.671850151809035,1159.6000000000001,104.55674245170239,66053.09735419683,0.7602627257799671,0.9304272637495912,30,3,
0:0:5:0:0:8:9:6:0,868.0,3.287343465639806,1062.4,71.592170574642,20172.226007062283,0.896551724137931,0.9780301375309939,44,1,
0:0:5:0:0:8:9:5:1,888.0,3.5688440655060125,1198.2,87.22603589316154,46135.658314349464,0.8932676518883416,0.9480459484647656,35,2,
0:0:5:0:0:8:9:4:2,1004.0,3.6028877871576444,1102.0,88.15866237900529,53322.80377466366,0.8653530377668309,0.9354351059820774,32,3,
0:0:5:0:0:9:9:5:0,624.0,2.9794927309186034,1142.7999999999997,47.711073129429515,0.0,1.0,1.0,39,0,
0:0:5:0:0:9:9:5:1,936.0,3.3547512940247795,1031.6000000000001,75.44353806109065,31918.79299856934,0.9589490968801314,0.9626022301996479,38,2,
0:0:5:0:0:9:9:5:2,1068.0,3.6765794378187593,1059.6,111.43687763162436,81178.8056251959,0.9146141215106732,0.9094539240737123,36,3,
0:0:5:1:0:7:9:5:2,1052.0,3.6945901976311077,1074.2,123.80543035734472,94229.76212298952,0.7914614121510674,0.9011042952236178,35,3,
0:0:5:1:0:8:8:5:1,920.0,3.571067367365396,1140.6000000000001,114.18002672552586,89129.27857385091,0.8801313628899836,0.8957464922690329,37,2,
0:0:5:1:0:8:8:4:2,1020.0,3.6702731160489814,1097.9999999999998,117.19632767382987,95180.78236758892,0.8029556650246306,0.886413076801392,33,3,
0:0:5:1:0:8:9:5:0,756.0,3.1775316122480284,1056.8,122.31675185904945,89287.995058207,0.8768472906403941,0.909086082469221,37,1,
0:0:5:1:0:8:9:5:1,888.0,3.4022121809339283,1062.8,121.14721818876232,92657.92686528439,0.8834154351395731,0.9001027295960374,35,2,
0:0:5:1:0:8:9:4:2,1020.0,3.7905325452037784,1175.8,112.634320029101,83097.45053599271,0.825944170771757,0.9071521209526697,33,3,
0:0:5:1:0:9:8:5:1,888.0,3.3843492915421347,1049.6,123.4687185491601,94783.22130752535,0.9408866995073891,0.899334280089099,35,2,
0:0:5:1:0:9:9:5:0,772.0,3.3245911506193386,1136.9999999999998,115.67601072717758,83294.39823120911,0.9244663382594417,0.9114885556904554,38,1,
0:0:5:1:0:9:9:5:1,920.0,3.5993667903644835,1158.7999999999997,113.21437533197049,83052.91768561314,0.9195402298850575,0.9081932627289843,37,2,
0:0:5:1:0:9:9:4:2,1020.0,3.7228426685788483,1131.8,115.41118516451856,86081.82287030626,0.9195402298850575,0.9050956472047719,33,3,
0:0:5:1:1:7:8:4:1,808.0,3.486773723775533,1154.6,160.8451977792999,142411.09832125786,0.7586206896551724,0.8609251923815695,30,2,
0:0:5:1:1:7:8:4:2,1036.0,3.703616684387446,1090.8,128.7025607919548,103127.02468315407,0.7963875205254516,0.8897260546241824,34,3,
0:0:5:1:1:7:9:5:2,1068.0,3.7965829841575807,1108.8,135.31903735196656,102669.62464820102,0.7750410509031199,0.9017410776609045,36,3,
