Loading Ways
Stats:
Nodes = 828396
Ways = 127776
distance,71.58486764235583
Congress Way,unclassified
Congress Way,unclassified
Finnieston Quay,unclassified
Lancefield Quay,tertiary
Anderston Quay,tertiary
Fastlink busway,unclassified
Fastlink busway,unclassified
Broomielaw,primary
Broomielaw,primary
Broomielaw,primary
Broomielaw,primary
Broomielaw,primary
Broomielaw,primary
Clyde Street,primary
Clyde Street,primary
Clyde Street,primary
Clyde Street,primary
Clyde Street,primary
Clyde Street,primary
Bridgegate,primary
Bridgegate,primary
Bridgegate,primary
Saltmarket,primary
Saltmarket,primary
High Street,primary
Gallowgate,primary
Gallowgate,primary
Gallowgate,primary
Gallowgate,primary
null,primary
null,primary
null,primary
Biggar Street,primary
Biggar Street,primary
Biggar Street,primary
Biggar Street,primary
Biggar Street,primary
Biggar Street,primary
Biggar Street,primary
Duke Street,primary
Shettleston Road,primary
Shettleston Road,primary
Shettleston Road,primary
Shettleston Road,primary
Shettleston Road,primary
Shettleston Road,primary
Old Shettleston Road,primary
Shettleston Road,primary
Shettleston Road,primary
Baillieston Road,primary
Glasgow Road,primary
Glasgow Road,primary
Glasgow Road,primary
Glasgow Road,primary
Main Street,primary
null,primary
null,primary
null,primary
null,primary
null,trunk
null,motorway
null,motorway
null,motorway
Baillieston Roundabout,motorway
null,motorway_link
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway
null,motorway_link
null,trunk_link
null,trunk_link
null,primary
null,primary
null,primary
Calder Road,primary
Calder Road,primary
Calder Road,primary
Calder Road,primary
null,primary
null,primary
null,primary
Calder Road,primary
Calder Road,primary
Calder Road,primary
Calder Road,primary
Calder Road,primary
null,primary
Calder Road,primary
Stenhouse Road,primary
Stenhouse Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Gorgie Road,primary
Henderson Terrace,tertiary
Dundee Street,tertiary
Dundee Street,tertiary
Dundee Street,tertiary
Yeaman Place,residential
Yeaman Place,residential
Polwarth Crescent,residential
Merchiston Avenue,residential
Merchiston Avenue,residential
Merchiston Avenue,residential
Merchiston Crescent,residential
Rochester Terrace,residential
