Run 1
ID,Lat,Lon
Depot,55.93302,-3.213618,09:00
Visit 76,55.93321892729132,-3.2136351778200805,  09:00
Visit 480,55.933520124800616,-3.2140204355586057,  09:06
Visit 146,55.93388854538319,-3.2147077558858395,  09:11
Visit 583,55.93431919485683,-3.2137083351542057,  09:17
Visit 332,55.93493294782799,-3.2132193537012603,  09:22
Visit 213,55.93549907650603,-3.213557874559367,  09:27
Visit 914,55.93654266452862,-3.2139921227449135,  09:33
Visit 557,55.93430352693129,-3.2159371175193954,  09:38
Visit 585,55.93338276156893,-3.2158819384248916,  09:44
Visit 698,55.93262008200721,-3.2162019225015177,  09:50
Visit 565,55.933018203753136,-3.2171418538506424,  09:55
Visit 610,55.933739921722704,-3.216719339083861,  10:01
Visit 109,55.933543423406114,-3.213384971637838,  10:06
Visit 604,55.93397743626143,-3.217419962419098,  10:12
Visit 443,55.934737093273974,-3.2171776715801834,  10:18
Visit 961,55.93492557116877,-3.217659785052029,  10:24
Visit 243,55.93546604416457,-3.2189262293683343,  10:29
Visit 444,55.936144215646216,-3.2190377330119326,  10:35
Visit 753,55.936528793585644,-3.21872557636626,  10:41
Visit 442,55.937180907728454,-3.2182033348009993,  10:46
Visit 313,55.93851598381965,-3.2173856413495785,  10:52
Visit 694,55.93946688310646,-3.21675288933728,  10:57
Visit 438,55.93947588476289,-3.2166236438045397,  11:04
Visit 25,55.94012029505562,-3.216390410363411,  11:09
Visit 934,55.94061168264782,-3.21682837519877,  11:14
Depot,55.93302,-3.213618,11:35
